row_label_raw,row_label_full,Khoản mục > Số dư đầu năm trước,Vốn đầu tư của chủ sở hữu > 1.787.436.200.000,Thặng dư vốn cổ phần > 386.568.251.707,Quỹ đầu tư phát triển > 154.721.177.279,Lợi nhuận sau thuế chưa phân phối > 194.539.775.765,Tổng cộng VND > 2.523.265.404.751,numeric__Vốn đầu tư của chủ sở hữu > 1.787.436.200.000,numeric__Thặng dư vốn cổ phần > 386.568.251.707,numeric__Quỹ đầu tư phát triển > 154.721.177.279,numeric__Lợi nhuận sau thuế chưa phân phối > 194.539.775.765,numeric__Tổng cộng VND > 2.523.265.404.751
Phát hành cổ phiếu tăng vốn,Phát hành cổ phiếu tăng vốn,Phát hành cổ phiếu tăng vốn,199.000.000.000,10.070.000.000,-,-,209.070.000.000,199000000000.0,10070000000.0,,,209070000000.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,158.901.730.000,(158.901.730.000),-,-,-,158901730000.0,-158901730000.0,,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,17.305.733.737,17.305.733.737,,,,17305733737.0,17305733737.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,4.499.687.574,(11.179.687.574),(6.680.000.000),,,4499687574.0,-11179687574.0,-6680000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.145.337.930.000,237.736.521.707,159.220.864.853,200.665.821.928,2.742.961.138.488,2145337930000.0,237736521707.0,159220864853.0,200665821928.0,2742961138488.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.145.337.930.000,237.736.521.707,159.220.864.853,200.665.821.928,2.742.961.138.488,2145337930000.0,237736521707.0,159220864853.0,200665821928.0,2742961138488.0
Phát hành cổ phiếu tăng vốn,Phát hành cổ phiếu tăng vốn,Phát hành cổ phiếu tăng vốn,65.000.000.000,-,-,-,65.000.000.000,65000000000.0,,,,65000000000.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,171.610.260.000,(171.610.260.000),-,-,-,171610260000.0,-171610260000.0,,,
Lãi trong kỳ này,Lãi trong kỳ này,Lãi trong kỳ này,-,-,-,105.876.565.036,105.876.565.036,,,,105876565036.0,105876565036.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,(5.100.000.000),(5.100.000.000),,,,-5100000000.0,-5100000000.0
Biến động khác,Biến động khác,Biến động khác,-,(15.000.000),-,-,(15.000.000),,-15000000.0,,,-15000000.0
Số dư cuối kỳ,Số dư cuối kỳ,Số dư cuối kỳ,2.381.948.190.000,66.111.261.707,159.220.864.853,301.442.386.964,2.908.722.703.524,2381948190000.0,66111261707.0,159220864853.0,301442386964.0,2908722703524.0
