row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối kỳ,Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối kỳ,numeric__Số đầu năm
100,100,100,TÀI SẢN NGẮN HẠN,,3.986.909.850.278,3.033.935.473.241,,,3986909850278.0,3033935473241.0
110,110,110,Tiền và các khoản tương đương tiền,V.1,166.467.364.889,51.807.990.894,,,166467364889.0,51807990894.0
111,111,111,Tiền,,166.467.364.889,30.816.949.496,,,166467364889.0,30816949496.0
112,112,112,Các khoản tương đương tiền,,-,20.991.041.398,,,,20991041398.0
120,120,120,Đầu tư tài chính ngắn hạn,,40.000.000.000,-,,,40000000000.0,
121,121,121,Chứng khoán kinh doanh,,-,-,,,,
122,122,122,Dự phòng giảm giá chứng khoán kinh doanh (*),,-,-,,,,
123,122 > 123,123,Đầu tư nắm giữ đến ngày đáo hạn,V.2,40.000.000.000,-,,,40000000000.0,
130,122 > 130,130,Các khoản phải thu ngắn hạn,,990.246.119.380,602.157.920.478,,,990246119380.0,602157920478.0
131,122 > 131,131,Phải thu ngắn hạn của khách hàng,V.3,666.810.068.988,440.854.738.748,,,666810068988.0,440854738748.0
132,122 > 132,132,Trả trước cho người bán ngắn hạn,V.4,199.450.012.638,65.006.133.498,,,199450012638.0,65006133498.0
133,133,133,Phải thu nội bộ ngắn hạn,,-,-,,,,
134,134,134,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,-,-,,,,
135,134 > 135,135,Phải thu về cho vay ngắn hạn,V.5,34.200.000.000,5.000.000.000,,,34200000000.0,5000000000.0
136,134 > 136,136,Phải thu ngắn hạn khác,V.6,108.459.308.561,109.970.319.039,,,108459308561.0,109970319039.0
137,134 > 137,137,Dự phòng phải thu ngắn hạn khó đòi (*),,(18.673.270.807),(18.673.270.807),,,-18673270807.0,-18673270807.0
139,139,139,Tài sản thiếu chờ xử lý,,-,-,,,,
140,139 > 140,140,Hàng tồn kho,V.7,2.735.597.083.914,2.350.551.260.655,,,2735597083914.0,2350551260655.0
141,139 > 141,141,Hàng tồn kho,,2.735.597.083.914,2.350.551.260.655,,,2735597083914.0,2350551260655.0
149,149,149,Dự phòng giảm giá hàng tồn kho (*),,-,-,,,,
150,149 > 150,150,Tài sản ngắn hạn khác,,54.599.282.095,29.418.301.214,,,54599282095.0,29418301214.0
151,149 > 151,151,Chi phí trả trước ngắn hạn,V.8,41.248.662.492,6.796.030.436,,,41248662492.0,6796030436.0
152,149 > 152,152,Thuế giá trị gia tăng được khấu trừ,V.9,3.972.927.423,16.010.825.016,,,3972927423.0,16010825016.0
153,149 > 153,153,Thuế và các khoản khác phải thu Nhà nước,V.9,9.377.692.180,6.611.445.762,,,9377692180.0,6611445762.0
154,154,154,Giao dịch mua bán lại trái phiếu Chính phủ,,-,-,,,,
155,155,155,Tài sản ngắn hạn khác,,-,-,,,,
