row_label_raw,row_label_full,15. Người mua trả tiền trước ngắn hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Công ty CP Đầu tư phát triển xây dựng số 1,Công ty CP Đầu tư phát triển xây dựng số 1,Công ty CP Đầu tư phát triển xây dựng số 1,5.000.000.000,3.342.913.604,5000000000.0,3342913604.0
Công ty CP Du Lịch và Thương Mại DIC,Công ty CP Du Lịch và Thương Mại DIC,Công ty CP Du Lịch và Thương Mại DIC,52.230.000,52.230.000,52230000.0,52230000.0
Người mua trả tiền trước khác - nhóm khách hàng mua BĐS,Người mua trả tiền trước khác - nhóm khách hàng mua BĐS,Người mua trả tiền trước khác - nhóm khách hàng mua BĐS,496.366.373.973,267.707.686.769,496366373973.0,267707686769.0
Cộng,Cộng,Cộng,501.418.603.973,271.102.830.373,501418603973.0,271102830373.0
