row_label_raw,row_label_full,Phải thu dài hạn của khách hàng,Cuối năm > Giá trị gốc,Cuối năm > Dự phòng,Đầu năm > Giá trị gốc,Đầu năm > Dự phòng,numeric__Cuối năm > Giá trị gốc,numeric__Cuối năm > Dự phòng,numeric__Đầu năm > Giá trị gốc,numeric__Đầu năm > Dự phòng
Phải thu của khách hàng bên liên quan,Phải thu của khách hàng bên liên quan,Phải thu của khách hàng bên liên quan,Phải thu của khách hàng bên liên quan,Phải thu của khách hàng bên liên quan,Phải thu của khách hàng bên liên quan,Phải thu của khách hàng bên liên quan,,,,
Công ty CP Đầu tư Việt Thiên Lâm,Phải thu của khách hàng bên liên quan > Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,119.618.397.118,-,118.199.941.694,-,119618397118.0,,118199941694.0,
Ông Phan Văn Bình,Phải thu của khách hàng bên liên quan > Ông Phan Văn Bình,Ông Phan Văn Bình,20.369.021.195,-,20.369.021.195,-,20369021195.0,,20369021195.0,
Ông Nguyễn Vũ Tuấn,Phải thu của khách hàng bên liên quan > Ông Nguyễn Vũ Tuấn,Ông Nguyễn Vũ Tuấn,20.369.016.499,-,20.369.016.499,-,20369016499.0,,20369016499.0,
Ông Lê Văn Hường,Phải thu của khách hàng bên liên quan > Ông Lê Văn Hường,Ông Lê Văn Hường,8.318.000.000,-,8.318.000.000,-,8318000000.0,,8318000000.0,
Cộng,Phải thu của khách hàng bên liên quan > Cộng,Cộng,168.674.434.812,-,167.255.979.388,-,168674434812.0,,167255979388.0,
