row_label_raw,row_label_full,a) Phải trả ngắn hạn khác,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,215.209.362,550.489.930,215209362.0,550489930.0
"Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp",8.072.198,-,8072198.0,
Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,34.082.760.007,34.322.722.979,34082760007.0,34322722979.0
Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,688.136.160,978.300.000,688136160.0,978300000.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,572.335.205,572.335.205,572335205.0,572335205.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",118.403.569.067,127.726.089.546,118403569067.0,127726089546.0
Phải trả chi phí đền bù giải tỏa,Phải trả chi phí đền bù giải tỏa,Phải trả chi phí đền bù giải tỏa,56.499.293.289,68.503.861.216,56499293289.0,68503861216.0
Lệ phí trước bạ và phí bảo trì chung cư,Lệ phí trước bạ và phí bảo trì chung cư,Lệ phí trước bạ và phí bảo trì chung cư,27.332.993.660,25.880.017.386,27332993660.0,25880017386.0
Phải trả góp vốn hợp tác kinh doanh,Phải trả góp vốn hợp tác kinh doanh,Phải trả góp vốn hợp tác kinh doanh,15.159.498.714,22.397.984.922,15159498714.0,22397984922.0
Khác,Khác,Khác,19.411.783.404,10.944.226.022,19411783404.0,10944226022.0
Cộng,Cộng,Cộng,153.970.081.999,164.149.937.660,153970081999.0,164149937660.0
