row_label_raw,row_label_full,Lợi nhuận khác,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập khác,Thu nhập khác,Thu nhập khác,2.428.566.002,5.962.951.478,2428566002.0,5962951478.0
Thu thanh lý TSCĐ,Thu thanh lý TSCĐ,Thu thanh lý TSCĐ,-,121.617.750,,121617750.0
Thu tiền phạt do vi phạm hợp đồng kinh tế,Thu tiền phạt do vi phạm hợp đồng kinh tế,Thu tiền phạt do vi phạm hợp đồng kinh tế,1.426.722.039,1.961.477.612,1426722039.0,1961477612.0
Thu tiền phạt lãi do chậm thanh toán,Thu tiền phạt lãi do chậm thanh toán,Thu tiền phạt lãi do chậm thanh toán,616.337.002,-,616337002.0,
Thu nhập do chi hộ,Thu nhập do chi hộ,Thu nhập do chi hộ,129.328.455,3.796.168.382,129328455.0,3796168382.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,256.178.506,83.687.734,256178506.0,83687734.0
Chi phí khác,Chi phí khác,Chi phí khác,538.285.184,21.254.657.962,538285184.0,21254657962.0
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,2.442.783,15.106.257.646,2442783.0,15106257646.0
Chi hộ,Chi hộ,Chi hộ,125.068.013,3.788.240.600,125068013.0,3788240600.0
Thanh lý hợp đồng liên doanh,Thanh lý hợp đồng liên doanh,Thanh lý hợp đồng liên doanh,-,2.002.462.692,,2002462692.0
Chi phí khác,Chi phí khác,Chi phí khác,410.774.388,357.697.024,410774388.0,357697024.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,1.890.280.818,(15.291.706.484),1890280818.0,-15291706484.0
