row_label_raw,row_label_full,Nội dung nghiệp vụ/Bên liên quan,Mối quan hệ,Giá trị giao dịch VND,Số dư cuối kỳ phải thu/(phải trả) VND,numeric__Mối quan hệ,numeric__Giá trị giao dịch VND,numeric__Số dư cuối kỳ phải thu/(phải trả) VND
"Phải thu về cung cấp hàng hóa, dịch vụ","Phải thu về cung cấp hàng hóa, dịch vụ","Phải thu về cung cấp hàng hóa, dịch vụ",,212.648.923.715,455.254.954.213,,212648923715.0,455254954213.0
Công ty CP Đầu tư PT Xây dựng Số 1,Công ty CP Đầu tư PT Xây dựng Số 1,Công ty CP Đầu tư PT Xây dựng Số 1,Công ty con,2.297.955,2.297.955,,2297955.0,2297955.0
Công ty CP Du Lịch và Thương Mại DIC,Công ty CP Du Lịch và Thương Mại DIC,Công ty CP Du Lịch và Thương Mại DIC,Công ty con,-,-,,,
Công ty CP Cấu kiện BT DIC Miền Đông,Công ty CP Du Lịch và Thương Mại DIC > Công ty CP Cấu kiện BT DIC Miền Đông,Công ty CP Cấu kiện BT DIC Miền Đông,Công ty con,1.766.600,1.766.600,,1766600.0,1766600.0
Công ty CP Đầu tư PT Xây dựng DIC Số 2,Công ty CP Du Lịch và Thương Mại DIC > Công ty CP Đầu tư PT Xây dựng DIC Số 2,Công ty CP Đầu tư PT Xây dựng DIC Số 2,Công ty con,61.754.254,-,,61754254.0,
Công ty CP Bất Đông Sản DIC,Công ty CP Du Lịch và Thương Mại DIC > Công ty CP Bất Đông Sản DIC,Công ty CP Bất Đông Sản DIC,Công ty liên kết,545.259.000,87.825.000,,545259000.0,87825000.0
Công ty Cổ Phần Vina Đại Phước,Công ty CP Du Lịch và Thương Mại DIC > Công ty Cổ Phần Vina Đại Phước,Công ty Cổ Phần Vina Đại Phước,Công ty liên kết,148.697.531.347,193.527.369.935,,148697531347.0,193527369935.0
Công ty CP Đầu tư PT Xây dựng-Bê Tông,Công ty CP Du Lịch và Thương Mại DIC > Công ty CP Đầu tư PT Xây dựng-Bê Tông,Công ty CP Đầu tư PT Xây dựng-Bê Tông,Công ty liên kết,375.073.299,-,,375073299.0,
Công ty CP Đầu tư PT Phương Nam,Công ty CP Du Lịch và Thương Mại DIC > Công ty CP Đầu tư PT Phương Nam,Công ty CP Đầu tư PT Phương Nam,Công ty liên kết,956.982.735,263.441.002,,956982735.0,263441002.0
Công ty CP Đầu Tư Việt Thiên Lâm,Công ty CP Du Lịch và Thương Mại DIC > Công ty CP Đầu Tư Việt Thiên Lâm,Công ty CP Đầu Tư Việt Thiên Lâm,Công ty liên kết,-,199.363.995.196,,,199363995196.0
Công ty CP Gạch men Anh em DIC,Công ty CP Du Lịch và Thương Mại DIC > Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty liên kết,3.807.100,3.807.100,,3807100.0,3807100.0
Công ty CP ĐTPTXD Du lịch Thế thao Vũng Tàu,Công ty CP Du Lịch và Thương Mại DIC > Công ty CP ĐTPTXD Du lịch Thế thao Vũng Tàu,Công ty CP ĐTPTXD Du lịch Thế thao Vũng Tàu,Công ty liên kết,4.451.425,4.451.425,,4451425.0,4451425.0
