row_label_raw,row_label_full,Chi phí sản xuất kinh doanh theo yếu tố,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",1.335.380.170,830.062.198,1335380170.0,830062198.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,42.041.120.406,39.082.115.235,42041120406.0,39082115235.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,6.242.152.566,9.255.719.160,6242152566.0,9255719160.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,704.777.754.575,339.501.777.439,704777754575.0,339501777439.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,53.464.570.888,38.270.864.395,53464570888.0,38270864395.0
Cộng,Cộng,Cộng,807.860.978.605,426.940.538.427,807860978605.0,426940538427.0
