row_label_raw,row_label_full,10. Tài sản cố định hữu hình,Nhà cửa,Máy móc thiết bị,Phương tiện vận tải,Thiết bị dụng cụ quản lý,Tài sản khác,Tổng cộng VND,numeric__Nhà cửa,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản khác,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,20.296.853.253,4.041.847.675,24.679.570.214,1.684.521.696,334.954.547,51.037.747.385,20296853253.0,4041847675.0,24679570214.0,1684521696.0,334954547.0,51037747385.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,220.200.000,140.367.825,-,360.567.825,,,220200000.0,140367825.0,,360567825.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(71.373.861),-,-,-,-,(71.373.861),-71373861.0,,,,,-71373861.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,20.225.479.392,4.041.847.675,24.899.770.214,1.824.889.521,334.954.547,51.326.941.349,20225479392.0,4041847675.0,24899770214.0,1824889521.0,334954547.0,51326941349.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.641.783.225,1.111.835.523,11.554.257.318,1.579.167.794,297.833.336,22.184.877.196,7641783225.0,1111835523.0,11554257318.0,1579167794.0,297833336.0,22184877196.0
Khấu hao trong kỳ,Hao mòn lũy kế > Khấu hao trong kỳ,Khấu hao trong kỳ,597.571.394,400.776.768,2.268.980.320,56.554.972,12.727.272,3.336.610.726,597571394.0,400776768.0,2268980320.0,56554972.0,12727272.0,3336610726.0
Số dư cuối kỳ,Hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,8.239.354.619,1.512.612.291,13.823.237.638,1.635.722.766,310.560.608,25.521.487.922,8239354619.0,1512612291.0,13823237638.0,1635722766.0,310560608.0,25521487922.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,12.655.070.028,2.930.012.152,13.125.312.896,105.353.902,37.121.211,28.852.870.189,12655070028.0,2930012152.0,13125312896.0,105353902.0,37121211.0,28852870189.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,11.986.124.773,2.529.235.384,11.076.532.576,189.166.755,24.393.939,25.805.453.427,11986124773.0,2529235384.0,11076532576.0,189166755.0,24393939.0,25805453427.0
