row_label_raw,row_label_full,Bên liên quan > Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp công ty liên kết (Thuyết minh số 7.1) > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Mối quan hệ > Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp công ty liên kết (Thuyết minh số 7.1) > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Đơn vị tính: VND > Số cuối năm > 1.000.000.000,Đơn vị tính: VND > Số đầu năm > 1.000.000.000,numeric__Mối quan hệ > Phải thu khác từ thành viên quản lý chủ chốt về giao dịch chuyển nhượng vốn góp công ty liên kết (Thuyết minh số 7.1) > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Đơn vị tính: VND > Số cuối năm > 1.000.000.000,numeric__Đơn vị tính: VND > Số đầu năm > 1.000.000.000
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,9.428.151.504,6.425.254.184,,9428151504.0,6425254184.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,9.428.151.504,6.425.254.184,,9428151504.0,6425254184.0
