row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số cuối năm,Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi có kỳ hạn (*),Ngắn hạn > Tiền gửi có kỳ hạn (*),Tiền gửi có kỳ hạn (*),489.883.400.931,504.883.327.067,489883400931.0,504883327067.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,489.883.400.931,504.883.327.067,489883400931.0,504883327067.0
Dài hạn,Dài hạn,Dài hạn,,,,
Trái phiếu (**),Dài hạn > Trái phiếu (**),Trái phiếu (**),10.000.000.000,-,10000000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,10.000.000.000,-,10000000000.0,
