row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND Số đầu năm,Đơn vị tính: VND Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND Số đầu năm,numeric__Đơn vị tính: VND Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,166.858.078.635,-,290.600.202.986,-,166858078635.0,,290600202986.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",876.361.616.698,-,1.008.593.953.822,-,876361616698.0,,1008593953822.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",21.532.153.214,-,14.148.458.891,-,21532153214.0,,14148458891.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,4.088.024.806.968,(5.566.521.832),3.435.395.401.017,(8.812.102.456),4088024806968.0,-5566521832.0,3435395401017.0,-8812102456.0
- Chi phí sản xuất kinh doanh dở dang của hoạt động kinh doanh bắt động sản,- Chi phí sản xuất kinh doanh dở dang của hoạt động kinh doanh bắt động sản,- Chi phí sản xuất kinh doanh dở dang của hoạt động kinh doanh bắt động sản,1.080.381.069.681,-,1.297.364.849.648,-,1080381069681.0,,1297364849648.0,
- Chi phí sản xuất kinh doanh dở dang của các hoạt động kinh doanh khác,- Chi phí sản xuất kinh doanh dở dang của các hoạt động kinh doanh khác,- Chi phí sản xuất kinh doanh dở dang của các hoạt động kinh doanh khác,3.007.643.737.287,(5.566.521.832),2.138.030.551.369,(8.812.102.456),3007643737287.0,-5566521832.0,2138030551369.0,-8812102456.0
Thành phẩm,Thành phẩm,Thành phẩm,272.178.494.495,-,325.055.144.246,-,272178494495.0,,325055144246.0,
Hàng hóa,Hàng hóa,Hàng hóa,75.042.850.745,-,142.122.278.580,-,75042850745.0,,142122278580.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.499.998.000.755,(5.566.521.832),5.215.915.439.542,(8.812.102.456),5499998000755.0,-5566521832.0,5215915439542.0,-8812102456.0
