row_label_raw,row_label_full,col_0,Giá trị ghi sổ(đồng thời là giá trị hợp lý) > Số cuối năm,Giá trị ghi sổ(đồng thời là giá trị hợp lý) > Số đầu năm,numeric__Giá trị ghi sổ(đồng thời là giá trị hợp lý) > Số cuối năm,numeric__Giá trị ghi sổ(đồng thời là giá trị hợp lý) > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,109.560.794.629,114.326.245.295,109560794629.0,114326245295.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,109.560.794.629,114.326.245.295,109560794629.0,114326245295.0
