row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,544.838.717.870,7.091.027.273,551.929.745.143,544838717870.0,7091027273.0,551929745143.0
- Thuê thêm trong năm,Nguyên giá: > - Thuê thêm trong năm,- Thuê thêm trong năm,328.090.938.178,-,328.090.938.178,328090938178.0,,328090938178.0
- Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),Nguyên giá: > - Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),- Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),(113.123.628.723),(3.172.880.000),(116.296.508.723),-113123628723.0,-3172880000.0,-116296508723.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,759.806.027.325,3.918.147.273,763.724.174.598,759806027325.0,3918147273.0,763724174598.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,131.800.433.903,2.035.112.235,133.835.546.138,131800433903.0,2035112235.0,133835546138.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,78.336.465.249,1.004.024.397,79.340.489.646,78336465249.0,1004024397.0,79340489646.0
- Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),Giá trị khấu hao lũy kế: > - Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),- Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),(62.523.707.617),(1.586.439.984),(64.110.147.601),-62523707617.0,-1586439984.0,-64110147601.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,147.613.191.535,1.452.696.648,149.065.888.183,147613191535.0,1452696648.0,149065888183.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,413.038.283.967,5.055.915.038,418.094.199.005,413038283967.0,5055915038.0,418094199005.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,612.192.835.790,2.465.450.625,614.658.286.415,612192835790.0,2465450625.0,614658286415.0
