row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Tỷ lệ vốn nấm giữ,Số cuối năm > Tỷ lệ quyền biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Tỷ lệ vốn nấm giữ,Số đầu năm > Tỷ lệ quyền biểu quyết,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Tỷ lệ vốn nấm giữ,numeric__Số cuối năm > Tỷ lệ quyền biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Tỷ lệ vốn nấm giữ,numeric__Số đầu năm > Tỷ lệ quyền biểu quyết
Công ty TNHHChế biến thực phẩm Dabaco,Công ty TNHHChế biến thực phẩm Dabaco,Công ty TNHHChế biến thực phẩm Dabaco,(i) 80.343.996.473,"49,65%","49,65%",85.532.965.378,"49,65%","49,65%",,0.4965,0.4965,85532965378.0,0.4965,0.4965
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,(ii) 29.216.798.156,"33,33%","33,33%",28.793.279.917,"33,33%","33,33%",,0.3333,0.3333,28793279917.0,0.3333,0.3333
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,109.560.794.629,,,114.326.245.295,,,109560794629.0,,,114326245295.0,,
