row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,3.532.270.145.572,2.497.026.780.780,311.614.527.748,44.461.388.354,6.385.372.842.454,3532270145572.0,2497026780780.0,311614527748.0,44461388354.0,6385372842454.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,834.130.000,36.094.442.140,15.046.171.704,3.987.377.335,55.962.121.179,834130000.0,36094442140.0,15046171704.0,3987377335.0,55962121179.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,784.452.143.961,429.412.650.266,20.544.985.964,4.644.489.546,1.239.054.269.737,784452143961.0,429412650266.0,20544985964.0,4644489546.0,1239054269737.0
- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 10),Nguyên giá: > - Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 10),- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 10),-,113.123.628.723,3.172.880.000,-,116.296.508.723,,113123628723.0,3172880000.0,,116296508723.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(24.903.127.318),(323.586.409.558),(462.359.582),(1.347.970.933),(350.299.867.391),-24903127318.0,-323586409558.0,-462359582.0,-1347970933.0,-350299867391.0
- Tăng khác,Nguyên giá: > - Tăng khác,- Tăng khác,6.845.138.300,-,-,-,6.845.138.300,6845138300.0,,,,6845138300.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.299.498.430.515,2.752.071.092.351,349.916.205.834,51.745.284.302,7.453.231.013.002,4299498430515.0,2752071092351.0,349916205834.0,51745284302.0,7453231013002.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,36.761.979.393,302.831.467.606,74.058.806.743,10.474.837.709,424.127.091.451,36761979393.0,302831467606.0,74058806743.0,10474837709.0,424127091451.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,1.157.181.895.733,1.135.622.848.587,182.430.835.294,26.466.741.678,2.501.702.321.292,1157181895733.0,1135622848587.0,182430835294.0,26466741678.0,2501702321292.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,214.435.614.080,227.244.549.585,30.782.801.293,4.336.332.244,476.799.297.202,214435614080.0,227244549585.0,30782801293.0,4336332244.0,476799297202.0
- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 10),Giá trị khấu hao lũy kế: > - Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 10),- Phân loại từ TSCĐ thuê tài chính(Thuyết minh số 10),-,62.523.707.617,1.586.439.984,-,64.110.147.601,,62523707617.0,1586439984.0,,64110147601.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(6.302.944.652),(115.038.335.855),(462.359.582),(1.347.970.933),(123.151.611.022),-6302944652.0,-115038335855.0,-462359582.0,-1347970933.0,-123151611022.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.365.314.565.161,1.310.352.769.934,214.337.716.989,29.455.102.989,2.919.460.155.073,1365314565161.0,1310352769934.0,214337716989.0,29455102989.0,2919460155073.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.375.088.249.839,1.361.403.932.193,129.183.692.454,17.994.646.676,3.883.670.521.162,2375088249839.0,1361403932193.0,129183692454.0,17994646676.0,3883670521162.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.934.183.865.354,1.441.718.322.417,135.578.488.845,22.290.181.313,4.533.770.857.929,2934183865354.0,1441718322417.0,135578488845.0,22290181313.0,4533770857929.0
Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),459.359.112.217,291.561.478.508,7.195.401.626,1.448.964.453,759.564.956.805,459359112217.0,291561478508.0,7195401626.0,1448964453.0,759564956805.0
