row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,Kinh doanh con giống và chế biến thực phẩm,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,numeric__Kinh doanh con giống và chế biến thực phẩm,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,5.614.307.189.573,247.268.556.643,5.696.018.920.031,-,11.557.594.666.247,5614307189573.0,247268556643.0,5696018920031.0,,11557594666247.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,8.336.009.004.477,125.517.586.016,1.599.970.829.620,(10.061.497.420.113),-,8336009004477.0,125517586016.0,1599970829620.0,-10061497420113.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,13.950.316.194.050,372.786.142.659,7.295.989.749.651,(10.061.497.420.113),11.557.594.666.247,13950316194050.0,372786142659.0,7295989749651.0,-10061497420113.0,11557594666247.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,841.667.821.921,137.717.630.839,(338.481.825.905),(561.925.558.458),78.978.068.397,841667821921.0,137717630839.0,-338481825905.0,-561925558458.0,78978068397.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(39.927.434.155),(17.321.049.229),(16.534.997.916),-,(73.783.481.300),-39927434155.0,-17321049229.0,-16534997916.0,,-73783481300.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,801.740.387.766,120.396.581.610,(355.016.823.821),(561.925.558.458),5.194.587.097,801740387766.0,120396581610.0,-355016823821.0,-561925558458.0,5194587097.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,10.019.111.190.724,1.506.426.148.067,5.111.474.773.042,(3.662.908.190.483),12.974.103.921.350,10019111190724.0,1506426148067.0,5111474773042.0,-3662908190483.0,12974103921350.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,10.019.111.190.724,1.506.426.148.067,5.111.474.773.042,(4.909.129.542.955),11.727.882.568.878,10019111190724.0,1506426148067.0,5111474773042.0,-4909129542955.0,11727882568878.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,1.246.221.352.472,1.246.221.352.472,,,,1246221352472.0,1246221352472.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,6.777.324.647.255,1.275.365.045.285,5.134.214.263.697,(4.854.027.698.118),8.332.876.258.119,6777324647255.0,1275365045285.0,5134214263697.0,-4854027698118.0,8332876258119.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,6.777.324.647.255,1.275.365.045.285,5.134.214.263.697,(4.854.027.698.118),8.332.876.258.119,6777324647255.0,1275365045285.0,5134214263697.0,-4854027698118.0,8332876258119.0
