row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,Tài sản cố định khác (website),Cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Tài sản cố định khác (website),numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,337.478.200,1.187.205.923,190.000.000,1.714.684.123,337478200.0,1187205923.0,190000000.0,1714684123.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,337.478.200,1.187.205.923,190.000.000,1.714.684.123,337478200.0,1187205923.0,190000000.0,1714684123.0
Trong đó: Đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá > Trong đó: Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: Đã khấu hao hết nhưng vẫn còn sử dụng,337.478.200,1.187.205.923,-,1.524.684.123,337478200.0,1187205923.0,,1524684123.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,337.478.200,1.187.205.923,136.166.681,1.660.850.804,337478200.0,1187205923.0,136166681.0,1660850804.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,-,-,38.000.004,38.000.004,,,38000004.0,38000004.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,337.478.200,1.187.205.923,174.166.685,1.698.850.808,337478200.0,1187205923.0,174166685.0,1698850808.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,-,53.833.319,53.833.319,,,53833319.0,53833319.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,-,15.833.315,15.833.315,,,15833315.0,15833315.0
