row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,627.293.619.400,495.537.446.335,,1.0,,627293619400.0,495537446335.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,67.336.974,989.166.098,,2.0,,67336974.0,989166098.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,627.226.282.426,494.548.280.237,,10.0,,627226282426.0,494548280237.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,543.317.702.210,460.135.137.500,,11.0,,543317702210.0,460135137500.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,83.908.580.216,34.413.142.737,,20.0,,83908580216.0,34413142737.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,248.537.585.920,399.406.109.560,,21.0,,248537585920.0,399406109560.0
7.,7.,7.,Chi phí tài chính,22,VI.4,226.986.670.809,283.110.879.879,,22.0,,226986670809.0,283110879879.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,229.557.398.047,274.725.566.983,,23.0,,229557398047.0,274725566983.0
9.,9.,9.,Chi phí bán hàng,25,,-,-,,25.0,,,
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,VI.5,(9.908.473.104),76.503.669.175,,26.0,,-9908473104.0,76503669175.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,115.367.968.431,74.204.703.243,,30.0,,115367968431.0,74204703243.0
12.,12.,12.,Thu nhập khác,31,VI.6,1.731.372.858,7.150.695.225,,31.0,,1731372858.0,7150695225.0
13.,13.,13.,Chi phí khác,32,VI.7,40.330.918.691,49.686.390.825,,32.0,,40330918691.0,49686390825.0
14.,14.,14.,Lợi nhuận khác,40,,(38.599.545.833),(42.535.695.600),,40.0,,-38599545833.0,-42535695600.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,76.768.422.598,31.669.007.643,,50.0,,76768422598.0,31669007643.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,,-,-,,51.0,,,
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,,52.0,,,
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,76.768.422.598,31.669.007.643,,60.0,,76768422598.0,31669007643.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,VI.8,-,-,,70.0,,,
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,VI.8,-,-,,71.0,,,
