row_label_raw,row_label_full,col_0,Vay dài hạn ngân hàng,Trái phiếu thường,Cộng,numeric__Vay dài hạn ngân hàng,numeric__Trái phiếu thường,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,2.236.156.145.573,1.040.000.000.000,3.276.156.145.573,2236156145573.0,1040000000000.0,3276156145573.0
Kết chuyển sang vay dài hạn đến hạn trả,Kết chuyển sang vay dài hạn đến hạn trả,Kết chuyển sang vay dài hạn đến hạn trả,(89.645.189.214),-,(89.645.189.214),-89645189214.0,,-89645189214.0
Phát hành trái phiếu trong năm,Phát hành trái phiếu trong năm,Phát hành trái phiếu trong năm,-,350.000.000.000,350.000.000.000,,350000000000.0,350000000000.0
Thanh toán trái phiếu,Thanh toán trái phiếu,Thanh toán trái phiếu,-,(710.000.000.000),(710.000.000.000),,-710000000000.0,-710000000000.0
Chênh lệch tỷ giá cuối năm,Chênh lệch tỷ giá cuối năm,Chênh lệch tỷ giá cuối năm,(21.874.328.399),-,(21.874.328.399),-21874328399.0,,-21874328399.0
Số cuối năm,Số cuối năm,Số cuối năm,2.124.636.627.960,680.000.000.000,2.804.636.627.960,2124636627960.0,680000000000.0,2804636627960.0
