row_label_raw,row_label_full,col_0,Lĩnh vựcXây lắp,Lĩnh vựcThủy điện,Lĩnh vực khác,Cộng,numeric__Lĩnh vựcXây lắp,numeric__Lĩnh vựcThủy điện,numeric__Lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,3.066.645.602.505,30.343.294.507,995.222.067.723,4.092.210.964.735,3066645602505.0,30343294507.0,995222067723.0,4092210964735.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,-,-,-,10.335.770.819.870,,,,10335770819870.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,14.427.981.784.605,,,,14427981784605.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,8.084.896.808.092,779.621.039.505,209.578.094.733,9.074.095.942.330,8084896808092.0,779621039505.0,209578094733.0,9074095942330.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,-,-,-,708.573.044.447,,,,708573044447.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,9.782.668.986.777,,,,9782668986777.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,3.701.675.107.600,63.915.101.048,953.640.510.854,4.719.230.719.502,3701675107600.0,63915101048.0,953640510854.0,4719230719502.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,-,-,-,10.517.893.390.011,,,,10517893390011.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,15.237.124.109.513,,,,15237124109513.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,9.333.844.712.715,606.933.721.460,244.819.383.399,10.185.597.817.574,9333844712715.0,606933721460.0,244819383399.0,10185597817574.0
Nợ phải trả không phân bổ theo bộ phận,Số đầu năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,-,-,-,474.685.303.281,,,,474685303281.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,10.660.283.120.855,,,,10660283120855.0
