row_label_raw,row_label_full,col_0,Vay ngắn hạn bên liên quan,Vay ngắn hạn ngân hàng,Vay ngắn hạn các cá nhân,Vay dài hạn đến hạn trả,Cộng,numeric__Vay ngắn hạn bên liên quan,numeric__Vay ngắn hạn ngân hàng,numeric__Vay ngắn hạn các cá nhân,numeric__Vay dài hạn đến hạn trả,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,30.000.000.000,65.055.643.000,252.888.819,1.485.160.769.420,1.580.469.301.239,30000000000.0,65055643000.0,252888819.0,1485160769420.0,1580469301239.0
Số tiền vay phát sinh trong năm,Số tiền vay phát sinh trong năm,Số tiền vay phát sinh trong năm,-,39.656.484.828,-,-,39.656.484.828,,39656484828.0,,,39656484828.0
Kết chuyển từ vay và nợ dài hạn,Kết chuyển từ vay và nợ dài hạn,Kết chuyển từ vay và nợ dài hạn,-,-,-,89.645.189.214,89.645.189.214,,,,89645189214.0,89645189214.0
Số tiền vay đã trả trong năm,Số tiền vay đã trả trong năm,Số tiền vay đã trả trong năm,-,(104.712.127.828),-,(16.245.430.327),(120.957.558.155),,-104712127828.0,,-16245430327.0,-120957558155.0
Chênh lệch tỷ giá do đánh giá lại số dư khoản vay có gốc ngoại tệ cuối năm,Chênh lệch tỷ giá do đánh giá lại số dư khoản vay có gốc ngoại tệ cuối năm,Chênh lệch tỷ giá do đánh giá lại số dư khoản vay có gốc ngoại tệ cuối năm,-,-,-,(116.499.848.477),(116.499.848.477),,,,-116499848477.0,-116499848477.0
Cộng,Cộng,Cộng,30.000.000.000,-,252.888.819,1.442.060.679.830,1.472.313.568.649,30000000000.0,,252888819.0,1442060679830.0,1472313568649.0
