row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc vàthiết bị,"Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc vàthiết bị,"numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản cố địnhkhác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,682.981.810.198,88.310.489.012,46.467.065.441,11.969.999.110,271.080.663.354,1.100.810.027.115,682981810198.0,88310489012.0,46467065441.0,11969999110.0,271080663354.0,1100810027115.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,682.981.810.198,88.310.489.012,46.467.065.441,11.969.999.110,271.080.663.354,1.100.810.027.115,682981810198.0,88310489012.0,46467065441.0,11969999110.0,271080663354.0,1100810027115.0
Trong đó: Đã khấu hao hếtnhưng vẫn còn sử dụng,Nguyên giá > Trong đó: Đã khấu hao hếtnhưng vẫn còn sử dụng,Trong đó: Đã khấu hao hếtnhưng vẫn còn sử dụng,1.605.218.900,747.828.080,18.210.637.995,11.054.583.747,2.610.882.465,34.229.151.187,1605218900.0,747828080.0,18210637995.0,11054583747.0,2610882465.0,34229151187.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,89.764.244.993,47.452.282.177,27.041.905.209,10.975.258.271,75.292.315.042,250.526.005.692,89764244993.0,47452282177.0,27041905209.0,10975258271.0,75292315042.0,250526005692.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,16.869.166.584,5.678.077.416,1.298.237.441,994.740.839,11.603.603.292,36.443.825.572,16869166584.0,5678077416.0,1298237441.0,994740839.0,11603603292.0,36443825572.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,106.633.411.577,53.130.359.593,28.340.142.650,11.969.999.110,86.895.918.334,286.969.831.264,106633411577.0,53130359593.0,28340142650.0,11969999110.0,86895918334.0,286969831264.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,593.217.565.205,40.858.206.835,19.425.160.232,994.740.839,195.788.348.312,850.284.021.423,593217565205.0,40858206835.0,19425160232.0,994740839.0,195788348312.0,850284021423.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,576.348.398.621,35.180.129.419,18.126.922.791,-,184.184.745.020,813.840.195.851,576348398621.0,35180129419.0,18126922791.0,,184184745020.0,813840195851.0
