row_label_raw,row_label_full,Là các khoản tiền cho thuê văn phòng khách hàng trả trước,Là các khoản tiền cho thuê văn phòng khách hàng trả trước_1,Là các khoản tiền cho thuê văn phòng khách hàng trả trước_2,numeric__Là các khoản tiền cho thuê văn phòng khách hàng trả trước_1,numeric__Là các khoản tiền cho thuê văn phòng khách hàng trả trước_2
,,,Số cuối năm,Số đầu năm,,
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,35.810.930.938,9.138.077.363,35810930938.0,9138077363.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,144.454.262.248,148.289.331.156,144454262248.0,148289331156.0
Cộng,Cộng,Cộng,180.265.193.186,157.427.408.519,180265193186.0,157427408519.0
Trong đó: Doanh thu chưa thực hiện của bên liên quan,Trong đó: Doanh thu chưa thực hiện của bên liên quan,Trong đó: Doanh thu chưa thực hiện của bên liên quan,71.487.955.244,73.365.237.977,71487955244.0,73365237977.0
