row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị ghi sổ VND,31/12/2020 > Dự phòng VND,01/01/2020 > Giá trị ghi sổ VND,01/01/2020 > Dự phòng VND,numeric__31/12/2020 > Giá trị ghi sổ VND,numeric__31/12/2020 > Dự phòng VND,numeric__01/01/2020 > Giá trị ghi sổ VND,numeric__01/01/2020 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,235.539.420.554,-,36.761.305.610,-,235539420554.0,,36761305610.0,
Tạm ứng,Tạm ứng,Tạm ứng,5.586.209.181,-,10.716.368.041,-,5586209181.0,,10716368041.0,
Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,2.100.000.000,-,2.050.000.000,-,2100000000.0,,2050000000.0,
Phải thu lãi cho vay (a),Phải thu lãi cho vay (a),Phải thu lãi cho vay (a),27.100.000.000,-,23.887.500.000,-,27100000000.0,,23887500000.0,
Công ty TNHH Giao Hường Xanh (b),Công ty TNHH Giao Hường Xanh (b),Công ty TNHH Giao Hường Xanh (b),187.144.981.881,-,-,-,187144981881.0,,,
Trần Thị Lê Hải,Trần Thị Lê Hải,Trần Thị Lê Hải,10.000.000.000,-,-,-,10000000000.0,,,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,3.608.229.492,-,107.437.569,-,3608229492.0,,107437569.0,
Dài hạn,Dài hạn,Dài hạn,1.316.156.437.000,-,516.656.437.000,-,1316156437000.0,,516656437000.0,
Ký quỹ thực hiện dự án (c),Ký quỹ thực hiện dự án (c),Ký quỹ thực hiện dự án (c),21.500.000.000,-,21.500.000.000,-,21500000000.0,,21500000000.0,
Ký quỹ môi giới bắt động sản,Ký quỹ môi giới bắt động sản,Ký quỹ môi giới bắt động sản,2.000.000.000,-,3.100.000.000,-,2000000000.0,,3100000000.0,
Đặt cọc tiền thuê văn phòng,Đặt cọc tiền thuê văn phòng,Đặt cọc tiền thuê văn phòng,2.636.437.000,-,2.036.437.000,-,2636437000.0,,2036437000.0,
Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu (a),Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu (a),Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu (a),490.000.000.000,-,490.000.000.000,-,490000000000.0,,490000000000.0,
Công ty TNHH Giao Hường Xanh (d),Công ty TNHH Giao Hường Xanh (d),Công ty TNHH Giao Hường Xanh (d),800.000.000.000,,-,-,800000000000.0,,,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,20.000.000,-,20.000.000,-,20000000.0,,20000000.0,
Cộng,Cộng,Cộng,1.551.695.857.554,-,553.417.742.610,-,1551695857554.0,,553417742610.0,
