row_label_raw,row_label_full,col_0,col_1,31/12/2020 > Giá trị > VND,31/12/2020 > Kỳ hạn > Năm,01/01/2020 > Giá trị > VND,01/01/2020 > Kỳ hạn > Năm,col_6,col_7,numeric__col_1,numeric__31/12/2020 > Giá trị > VND,numeric__31/12/2020 > Kỳ hạn > Năm,numeric__01/01/2020 > Giá trị > VND,numeric__01/01/2020 > Kỳ hạn > Năm,numeric__col_6,numeric__col_7
Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,150.760.000.000,,-,,,,,150760000000.0,,,,,
Mệnh giá Trái phiếu KHLH2021002,Mệnh giá Trái phiếu KHLH2021002,Mệnh giá Trái phiếu KHLH2021002,Mệnh giá Trái phiếu KHLH2021002,150.760.000.000,1,-,-,,,,150760000000.0,1.0,,,,
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,210.119.365.081,,18.200.000.000,,,,,210119365081.0,,18200000000.0,,,
Mệnh giá Trái phiếu KHL082022-01,Mệnh giá Trái phiếu KHL082022-01,Mệnh giá Trái phiếu KHL082022-01,Mệnh giá Trái phiếu KHL082022-01,18.200.000.000,3,18.200.000.000,3,,,,18200000000.0,3.0,18200000000.0,3.0,,
Mệnh giá Trái phiếu BOND.KHL2020,Mệnh giá Trái phiếu BOND.KHL2020,Mệnh giá Trái phiếu BOND.KHL2020,Mệnh giá Trái phiếu BOND.KHL2020,200.000.000.000,3,-,-,,,,200000000000.0,3.0,,,,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(8.080.634.919),-,-,-,,,,-8080634919.0,,,,,
Cộng,Cộng,Cộng,Cộng,360.879.365.081,,18.200.000.000,,,,,360879365081.0,,18200000000.0,,,
Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,Chi tiết trái phiếu đã phát hành đến ngày 31 tháng 12 năm 2020 của Công ty như sau:,,,,,,,
Trái phiếu,Trái phiếu,Trái phiếu,Loại trái phiếu,Số lượng TP,Mệnh giá,Lãi suất,Thời hạn trái phiếu,Tài sản đảm bảo,Tài sản đảm bảo,,,,,,,
,,,,,VND,%/năm,,,,,,,,,,
Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,,,,,,,,,,,,,
Trái phiếu KHLH2021002ngày 28/12/2020,Trái phiếu ngắn hạn > Trái phiếu KHLH2021002ngày 28/12/2020,Trái phiếu KHLH2021002ngày 28/12/2020,Trái phiếu doanh nghiệpkhông có quyền chuyển đổi,1.507.600,100 nghìn,12,Kỳ hạn 12 tháng và thanhtoán lãi 3 tháng/ lần,Có tài sản đảm bảo,Có tài sản đảm bảo,,1507600.0,,12.0,,,
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,,,,,,,,,,,,,
Trái phiếu KHL082022-01ngày 30/7/2019,Trái phiếu dài hạn > Trái phiếu KHL082022-01ngày 30/7/2019,Trái phiếu KHL082022-01ngày 30/7/2019,Trái phiếu doanh nghiệpkhông có quyền chuyển đổi,147,100 triệu,11,Kỳ hạn 36 tháng và thanhtoán lãi 3 tháng/ lần,Không có tài sảnđảm bảo,Không có tài sảnđảm bảo,,147.0,,11.0,,,
Trái phiếu KHL082022-01ngày 30/9/2019,Trái phiếu dài hạn > Trái phiếu KHL082022-01ngày 30/9/2019,Trái phiếu KHL082022-01ngày 30/9/2019,Trái phiếu doanh nghiệpkhông có quyền chuyển đổi,35,100 triệu,11,Kỳ hạn 36 tháng và thanhtoán lãi 3 tháng/ lần,Không có tài sảnđảm bảo,Không có tài sảnđảm bảo,,35.0,,11.0,,,
Trái phiếuBOND.KHL2020.01 ngày25/02/2020,Trái phiếu dài hạn > Trái phiếuBOND.KHL2020.01 ngày25/02/2020,Trái phiếuBOND.KHL2020.01 ngày25/02/2020,Trái phiếu doanh nghiệpkhông có quyền chuyển đổi,800,100 triệu,"Lãi suất 4 kỳ đầu củaTrái phiếu là 11,5%sau đó thả nổi",Kỳ hạn 36 tháng và thanhtoán lãi 3 tháng/ lần,Có tài sản đảm bảo,Có tài sản đảm bảo,,800.0,,,,,
Trái phiếuBOND.KHL2020.02 ngày25/05/2020,Trái phiếu dài hạn > Trái phiếuBOND.KHL2020.02 ngày25/05/2020,Trái phiếuBOND.KHL2020.02 ngày25/05/2020,Trái phiếu doanh nghiệpkhông có quyền chuyển đổi,1.200,100 triệu,"Lãi suất 4 kỳ đầu củaTrái phiếu là 11,5%sau đó thả nổi",Kỳ hạn 36 tháng và thanhtoán lãi 3 tháng/ lần,Có tài sản đảm bảo,Có tài sản đảm bảo,,1200.0,,,,,
