row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị VND,31/12/2020 > Tỷ lệ %,01/01/2020 > Giá trị VND,01/01/2020 > Tỷ lệ %,numeric__31/12/2020 > Giá trị VND,numeric__31/12/2020 > Tỷ lệ %,numeric__01/01/2020 > Giá trị VND,numeric__01/01/2020 > Tỷ lệ %
Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,-,-,396.480.000.000,"33,04%",,,396480000000.0,0.33039999999999997
Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,576.000.000.000,"36,00%",709.520.000.000,"59,13%",576000000000.0,0.36,709520000000.0,0.5913
Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,256.000.000.000,"16,00%",54.000.000.000,"4,50%",256000000000.0,0.16,54000000000.0,0.045
Ông Phan Tuấn Nghĩa,Ông Phan Tuấn Nghĩa,Ông Phan Tuấn Nghĩa,396.040.000.000,"24,75%",-,-,396040000000.0,0.2475,,
Cổ đông khác,Cổ đông khác,Cổ đông khác,371.960.000.000,"23,25%",40.000.000.000,"3,33%",371960000000.0,0.2325,40000000000.0,0.0333
Cộng,Cộng,Cộng,1.600.000.000.000,100%,1.200.000.000.000,100%,1600000000000.0,1.0,1200000000000.0,1.0
