row_label_raw,row_label_full,col_0,Thiết bịvăn phòngVND,TổngVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2020,NGUYÊN GIÁ > Tại ngày 01/01/2020,Tại ngày 01/01/2020,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
Tại ngày 31/12/2020,NGUYÊN GIÁ > Tại ngày 31/12/2020,Tại ngày 31/12/2020,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2020,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2020,Tại ngày 01/01/2020,2.974.633.518,2.974.633.518,2974633518.0,2974633518.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,11.281.302,11.281.302,11281302.0,11281302.0
Tại ngày 31/12/2020,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2020,Tại ngày 31/12/2020,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2020,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2020,Tại ngày 01/01/2020,11.281.302,11.281.302,11281302.0,11281302.0
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,-,-,,
Nguyên giá TSCĐ hết khấu hao còn sử dụng,Tại ngày 31/12/2020 > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
