row_label_raw,row_label_full,NÔI DUNG,TRANG,numeric__TRANG
BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,2,2.0
BÁO CÁO KIỂM TOÁN ĐỌC LẬP,BÁO CÁO KIỂM TOÁN ĐỌC LẬP,BÁO CÁO KIỂM TOÁN ĐỌC LẬP,3,3.0
BẢNG CẦN Đ<|box_end|><|ref_start|> KẾ TOÁN,BẢNG CẦN Đ<|box_end|><|ref_start|> KẾ TOÁN,BẢNG CẦN Đ<|box_end|><|ref_start|> KẾ TOÁN,4 - 5,
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢNG CẦN Đ<|box_end|><|ref_start|> KẾ TOÁN > BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,6,6.0
BÁO CÁO LU'U CHUYÊN TIÊN TỆ,BẢNG CẦN Đ<|box_end|><|ref_start|> KẾ TOÁN > BÁO CÁO LU'U CHUYÊN TIÊN TỆ,BÁO CÁO LU'U CHUYÊN TIÊN TỆ,7,7.0
THUYẾT MINH BÁO CÁO TÀI CHÍNH,THUYẾT MINH BÁO CÁO TÀI CHÍNH,THUYẾT MINH BÁO CÁO TÀI CHÍNH,8 - 26,
