row_label_raw,row_label_full,Ông Hồ Minh Quang - Chủ tịch Hội đồng Quản trị,Ông Hồ Minh Quang - Chủ tịch Hội đồng Quản trị_1,numeric__Ông Hồ Minh Quang - Chủ tịch Hội đồng Quản trị_1
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,15.000.000.000,15000000000.0
Tăng tạm ứng,Tăng tạm ứng,Tăng tạm ứng,10.000.000.000,10000000000.0
Hoàn ứng,Hoàn ứng,Hoàn ứng,(20.000.000.000),-20000000000.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,5.000.000.000,5000000000.0
Bà Nguyễn Thị Ngọc Liên - Thành viên Ban Tổng Giám đốc,Bà Nguyễn Thị Ngọc Liên - Thành viên Ban Tổng Giám đốc,Bà Nguyễn Thị Ngọc Liên - Thành viên Ban Tổng Giám đốc,Bà Nguyễn Thị Ngọc Liên - Thành viên Ban Tổng Giám đốc,
Tại ngày 1 tháng 1 năm 2023,Bà Nguyễn Thị Ngọc Liên - Thành viên Ban Tổng Giám đốc > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,228.512.000,228512000.0
Tăng tạm ứng,Bà Nguyễn Thị Ngọc Liên - Thành viên Ban Tổng Giám đốc > Tăng tạm ứng,Tăng tạm ứng,632.812.621,632812621.0
Hoàn ứng,Bà Nguyễn Thị Ngọc Liên - Thành viên Ban Tổng Giám đốc > Hoàn ứng,Hoàn ứng,(830.324.621),-830324621.0
Tại ngày 31 tháng 12 năm 2023,Bà Nguyễn Thị Ngọc Liên - Thành viên Ban Tổng Giám đốc > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,31.000.000,31000000.0
,,,-,
Ông Nguyễn Vinh An - Thành viên Ban Tổng Giám đốc,Ông Nguyễn Vinh An - Thành viên Ban Tổng Giám đốc,Ông Nguyễn Vinh An - Thành viên Ban Tổng Giám đốc,Ông Nguyễn Vinh An - Thành viên Ban Tổng Giám đốc,
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,-,
Tăng tạm ứng,Tại ngày 1 tháng 1 năm 2023 > Tăng tạm ứng,Tăng tạm ứng,20.000.000,20000000.0
Hoàn ứng,Tại ngày 1 tháng 1 năm 2023 > Hoàn ứng,Hoàn ứng,(20.000.000),-20000000.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,-,
