row_label_raw,row_label_full,col_0,col_1,2023 VND,2022 VND,numeric__col_1,numeric__2023 VND,numeric__2022 VND
Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Chủ tịch Hội đồng Quản trị,2.395.416.385,2.557.795.975,,2395416385.0,2557795975.0
Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Thành viên Hội đồng Quản trị kiểm Tổng Giám đốc,2.061.211.000,2.205.118.082,,2061211000.0,2205118082.0
Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Thành viên Hội đồng Quản trị kiểm Phó Tổng Giám Đốc,1.090.845.000,1.190.327.538,,1090845000.0,1190327538.0
Bà Võ Thị Vui,Bà Võ Thị Vui,Bà Võ Thị Vui,Thành viên ban Kiểm soát,378.717.294,353.625.101,,378717294.0,353625101.0
Bà Nguyễn Thị Bích Nhi,Bà Nguyễn Thị Bích Nhi,Bà Nguyễn Thị Bích Nhi,Trường ban Kiểm soát,298.803.293,308.757.560,,298803293.0,308757560.0
Ông Lê Nhật Tân,Ông Lê Nhật Tân,Ông Lê Nhật Tân,Thành viên ban Kiểm soát,295.868.230,298.888.686,,295868230.0,298888686.0
Bà Nguyễn Ngọc Ý Nhi,Bà Nguyễn Ngọc Ý Nhi,Bà Nguyễn Ngọc Ý Nhi,Thành viên Hội đồng Quản trị,100.000.000,100.000.000,,100000000.0,100000000.0
Ông Võ Thời,Ông Võ Thời,Ông Võ Thời,Thành viên Hội đồng Quản trị,100.000.000,100.000.000,,100000000.0,100000000.0
Ông Nguyễn Hữu Kinh LuânCác thành viên khác,Ông Nguyễn Hữu Kinh LuânCác thành viên khác,Ông Nguyễn Hữu Kinh LuânCác thành viên khác,Thành viên Hội đồng Quản trị,-,100.000.000,,,100000000.0
Ông Nguyễn Hữu Kinh LuânCác thành viên khác,Ông Nguyễn Hữu Kinh LuânCác thành viên khác,Ông Nguyễn Hữu Kinh LuânCác thành viên khác,Thành viên Ban Tổng Giám Đốc,6.492.562.764,5.857.438.212,,6492562764.0,5857438212.0
,,,,13.213.423.966,13.071.951.154,,13213423966.0,13071951154.0
