row_label_raw,row_label_full,col_0,Tại ngày1.1.2023VND,Số phải thu trong năm VND,Số đã thực thu trong năm VND,Số đã cán trừ trong năm VND,Thuế được hoàn trong năm VND,Tại ngày31.12.2023VND,numeric__Tại ngày1.1.2023VND,numeric__Số phải thu trong năm VND,numeric__Số đã thực thu trong năm VND,numeric__Số đã cán trừ trong năm VND,numeric__Thuế được hoàn trong năm VND,numeric__Tại ngày31.12.2023VND
(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,,,,,,
Thuế GTGT được khấu trừ,(a) Thuế và các khoản phải thu > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,624.032.687.013,1.977.167.624.929,-,(1.207.956.126.867),(807.793.000.000),585.451.185.075,624032687013.0,1977167624929.0,,-1207956126867.0,-807793000000.0,585451185075.0
Thuế TNCN,(a) Thuế và các khoản phải thu > Thuế TNCN,Thuế TNCN,17.798.010,87.730.146,-,(33.173.213),-,72.354.943,17798010.0,87730146.0,,-33173213.0,,72354943.0
,,,624.050.485.023,1.977.255.355.075,-,(1.207.989.300.080),(807.793.000.000),585.523.540.018,624050485023.0,1977255355075.0,,-1207989300080.0,-807793000000.0,585523540018.0
,,,Tại ngày1.1.2023VND,Số phải nộp trong năm VND,Số đã thực nộp trong năm VND,Số đã cán trừ trong năm VND,Thuế được hoàn trong năm VND,Tại ngày31.12.2023VND,,,,,,
(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,,,,,,
Thuế GTGT hàng bán trong nước,(b) Thuế và các khoản phải nộp > Thuế GTGT hàng bán trong nước,Thuế GTGT hàng bán trong nước,-,862.519.311.881,-,(862.519.311.881),-,-,,862519311881.0,,-862519311881.0,,
Thuế GTGT hàng nhập khẩu,(b) Thuế và các khoản phải nộp > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,15.248.252.380,335.471.597.038,-,(345.436.814.986),-,5.283.034.432,15248252380.0,335471597038.0,,-345436814986.0,,5283034432.0
"Thuế xuất, nhập khẩu","(b) Thuế và các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",5.110.440,2.732.559.273,(2.589.085.604),-,-,148.584.109,5110440.0,2732559273.0,-2589085604.0,,,148584109.0
Thuế TNDN,(b) Thuế và các khoản phải nộp > Thuế TNDN,Thuế TNDN,-,60.755.885.161,(7.381.260.670),-,-,53.374.624.491,,60755885161.0,-7381260670.0,,,53374624491.0
Thuế thu nhập cá nhân,(b) Thuế và các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,545.068.321,5.900.575.429,(5.646.153.968),(33.173.213),-,766.316.569,545068321.0,5900575429.0,-5646153968.0,-33173213.0,,766316569.0
Khác,(b) Thuế và các khoản phải nộp > Khác,Khác,-,719.305.062,(719.305.062),-,-,-,,719305062.0,-719305062.0,,,
,,,15.798.431.141,1.268.099.233.844,(16.335.805.304),(1.207.989.300.080),-,59.572.559.601,15798431141.0,1268099233844.0,-16335805304.0,-1207989300080.0,,59572559601.0
