row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,2.183.985.680.000,785.907.272.279,74.567.904.963,42.586.677.857,2.636.156.159.446,5.723.203.694.545,2183985680000.0,785907272279.0,74567904963.0,42586677857.0,2636156159446.0,5723203694545.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(124.684.837.727),(124.684.837.727),,,,,-124684837727.0,-124684837727.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,10.000.000.000,-,-,-,-,10.000.000.000,10000000000.0,,,,,10000000000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,438.792.380.000,-,-,-,(438.792.380.000),-,438792380000.0,,,,-438792380000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(219.398.568.000),(219.398.568.000),,,,,-219398568000.0,-219398568000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)",-,-,-,-,(66.757.831.747),(66.757.831.747),,,,,-66757831747.0,-66757831747.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,111.263.052.911,-,(111.263.052.911),-,,,111263052911.0,,-111263052911.0,
Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,-,-,-,44.505.221.164,(44.505.221.164),-,,,,44505221164.0,-44505221164.0,
Thù lao Hội đồng Quản trị và Ban Kiểm soát,Thù lao Hội đồng Quản trị và Ban Kiểm soát,Thù lao Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,(2.712.322.000),(2.712.322.000),,,,,-2712322000.0,-2712322000.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,2.632.778.060.000,785.907.272.279,185.830.957.874,87.091.899.021,1.628.041.945.897,5.319.650.135.071,2632778060000.0,785907272279.0,185830957874.0,87091899021.0,1628041945897.0,5319650135071.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,117.408.565.158,117.408.565.158,,,,,117408565158.0,117408565158.0
Thù lao Hội đồng Quản trị và Ban Kiểm soát (*),Thù lao Hội đồng Quản trị và Ban Kiểm soát (*),Thù lao Hội đồng Quản trị và Ban Kiểm soát (*),-,-,-,-,(13.984.743.582),(13.984.743.582),,,,,-13984743582.0,-13984743582.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,2.632.778.060.000,785.907.272.279,185.830.957.874,87.091.899.021,1.731.465.767.473,5.423.073.956.647,2632778060000.0,785907272279.0,185830957874.0,87091899021.0,1731465767473.0,5423073956647.0
