row_label_raw,row_label_full,Bà Mai Kiêu LiênÔng Mai Hoài Anh,Tổng Giám đốcGiám đốc Điều hành Hoạt động kiểmGiám đốc Điều hành Kinh doanh,numeric__Tổng Giám đốcGiám đốc Điều hành Hoạt động kiểmGiám đốc Điều hành Kinh doanh
Bà Nguyễn Thị Thanh HòaÔng Trịnh Quốc DũngBà Ngô Thị Thu TrangÔng Trần Minh VănÔng Nguyễn Quốc KhánhÔng Phan Minh TiênBà Bùi Thị Hương,Bà Nguyễn Thị Thanh HòaÔng Trịnh Quốc DũngBà Ngô Thị Thu TrangÔng Trần Minh VănÔng Nguyễn Quốc KhánhÔng Phan Minh TiênBà Bùi Thị Hương,Bà Nguyễn Thị Thanh HòaÔng Trịnh Quốc DũngBà Ngô Thị Thu TrangÔng Trần Minh VănÔng Nguyễn Quốc KhánhÔng Phan Minh TiênBà Bùi Thị Hương,Giám đốc Điều hành Chuỗi Cung ứngGiám đốc Điều hành Phát triển Vùng Nguyên liệuGiám đốc Điều hành Dự ánGiám đốc Điều hành Sản xuấtGiám đốc Điều hành Nghiên cứu và Phát triểnGiám đốc Điều hành Tiếp thịGiám đốc Điều hành Nhân sự – Hành chính– Đối ngoại,
Ông Lê Thành Liêm,Ông Lê Thành Liêm,Ông Lê Thành Liêm,Quyền Giám đốc Điều hành Tài chính,
