row_label_raw,row_label_full,Ông Nguyễn Trung Kiên,Trường ban,numeric__Trường ban
Bà Nguyễn Thị Tuyết Mai,Bà Nguyễn Thị Tuyết Mai,Bà Nguyễn Thị Tuyết Mai,Thành viên,
Ông Vũ Trí Thức,Ông Vũ Trí Thức,Ông Vũ Trí Thức,Thành viên,
Ông Nguyễn Đình An,Ông Nguyễn Đình An,Ông Nguyễn Đình An,Thành viên (đến ngày 7 tháng 11 năm 2016),
