row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2016 VND,2015 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2016 VND,numeric__2015 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,11.237.626.570.896,9.367.141.056.385,1.0,,11237626570896.0,9367141056385.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,,,
Khấu hao và phân bổ,Điều chỉnh cho các khoản > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,1.190.837.007.934,1.097.075.552.739,2.0,,1190837007934.0,1097075552739.0
Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,02,,18.361.924.596,18.361.924.596,2.0,,18361924596.0,18361924596.0
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ,Điều chỉnh cho các khoản > Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ,03,,24.851.964.200,9.746.294.608,3.0,,24851964200.0,9746294608.0
có gốc ngoại tệ,Điều chỉnh cho các khoản > có gốc ngoại tệ,có gốc ngoại tệ,04,,(1.318.867.186),3.971.846.156,4.0,,-1318867186.0,3971846156.0
Lỗ từ thanh lý tài sản cố định hữu hình vàxây dựng cơ bản dở dang,Điều chỉnh cho các khoản > Lỗ từ thanh lý tài sản cố định hữu hình vàxây dựng cơ bản dở dang,Lỗ từ thanh lý tài sản cố định hữu hình vàxây dựng cơ bản dở dang,05,,23.313.975.174,12.204.756.318,5.0,,23313975174.0,12204756318.0
Thu nhập từ cố tức và lãi tiền gửi,Điều chỉnh cho các khoản > Thu nhập từ cố tức và lãi tiền gửi,Thu nhập từ cố tức và lãi tiền gửi,05,,(660.177.839.434),(558.765.316.003),5.0,,-660177839434.0,-558765316003.0
Lợi nhuận được chia từ công ty liên kết,Điều chỉnh cho các khoản > Lợi nhuận được chia từ công ty liên kết,Lợi nhuận được chia từ công ty liên kết,05,,(16.478.714.797),(12.898.974.260),5.0,,-16478714797.0,-12898974260.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,,46.499.350.049,31.277.451.964,6.0,,46499350049.0,31277451964.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,11.863.515.371.432,9.968.114.592.503,8.0,,11863515371432.0,9968114592503.0
Biến động các khoản phải thu,Điều chỉnh cho các khoản > Biến động các khoản phải thu,Biến động các khoản phải thu,09,,(183.074.482.860),165.561.724.757,9.0,,-183074482860.0,165561724757.0
Biến động hàng tồn kho,Điều chỉnh cho các khoản > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(1.036.885.160.204),(498.539.245.611),10.0,,-1036885160204.0,-498539245611.0
Biến động các khoản phải trả vànợ phải trả khác,Điều chỉnh cho các khoản > Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,11,,330.394.544.447,484.339.606.582,11.0,,330394544447.0,484339606582.0
Biến động chi phí trả trước,Điều chỉnh cho các khoản > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,84.053.128.168,(35.873.901.754),12.0,,84053128168.0,-35873901754.0
Biến động chứng khoán kinh doanh,Điều chỉnh cho các khoản > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,11.421.007.510,124.141.507.400,13.0,,11421007510.0,124141507400.0
,,,,,11.069.424.408.493,10.207.744.283.877,,,11069424408493.0,10207744283877.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(34.203.620.310),(27.330.327.473),14.0,,-34203620310.0,-27330327473.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(1.771.242.504.991),(1.805.610.651.275),15.0,,-1771242504991.0,-1805610651275.0
Tiền chỉ khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chỉ khác cho hoạt động kinh doanh,Tiền chỉ khác cho hoạt động kinh doanh,17,,(874.196.976.859),(715.652.197.441),17.0,,-874196976859.0,-715652197441.0
Lưu chuyển tiền thuần từ các hoạt độngkinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ các hoạt độngkinh doanh,Lưu chuyển tiền thuần từ các hoạt độngkinh doanh,20,,8.389.781.306.333,7.659.151.107.688,20.0,,8389781306333.0,7659151107688.0
