row_label_raw,row_label_full,Bên cho vay > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,Thuyết minh > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,Loại tiền > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,Lãi suất năm > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,31/12/2016 VND > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,1/1/2016 VND > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,numeric__Thuyết minh > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,numeric__Loại tiền > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,numeric__Lãi suất năm > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,numeric__31/12/2016 VND > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh,numeric__1/1/2016 VND > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh
Thành phố Hồ Chí Minh,Thành phố Hồ Chí Minh,Thành phố Hồ Chí Minh,,,,,,,,,,
▪ Khoản vay 1,Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,(i),VND,"4,90%",1.100.000.000.000,-,,,0.049,1100000000000.0,
▪ Khoản vay 2,Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,,USD,"1,28%",-,677.460.000.000,,,0.0128,,677460000000.0
The Bank of Tokyo-Mitsubishi UFJ Ltd. – Chi nhánh Thành phố Hồ Chí Minh,The Bank of Tokyo-Mitsubishi UFJ Ltd. – Chi nhánh Thành phố Hồ Chí Minh,The Bank of Tokyo-Mitsubishi UFJ Ltd. – Chi nhánh Thành phố Hồ Chí Minh,,,,,,,,,,
▪ Khoản vay 1,The Bank of Tokyo-Mitsubishi UFJ Ltd. – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,(ii),VND,"4,90%",100.000.000.000,-,,,0.049,100000000000.0,
▪ Khoản vay 2,The Bank of Tokyo-Mitsubishi UFJ Ltd. – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,,USD,"1,28%",-,564.550.000.000,,,0.0128,,564550000000.0
Wells Fargo,The Bank of Tokyo-Mitsubishi UFJ Ltd. – Chi nhánh Thành phố Hồ Chí Minh > Wells Fargo,Wells Fargo,(iii),USD,"2,748%",87.266.200.200,122.662.316.960,,,0.02748,87266200200.0,122662316960.0
Deutsche Polska Spólka Akcyjna,Deutsche Polska Spólka Akcyjna,Deutsche Polska Spólka Akcyjna,,,,,,,,,,
▪ Khoản vay 1,Deutsche Polska Spólka Akcyjna > ▪ Khoản vay 1,▪ Khoản vay 1,,EUR,"1,10%",-,21.336.313.870,,,0.011000000000000001,,21336313870.0
▪ Khoản vay 2,Deutsche Polska Spólka Akcyjna > ▪ Khoản vay 2,▪ Khoản vay 2,,PLN,"2,81%",-,67.618.276.378,,,0.0281,,67618276378.0
,,,,,,1.287.266.200.200,1.453.626.907.208,,,,1287266200200.0,1453626907208.0
