row_label_raw,row_label_full,col_0,Giá trị ghi số VND,Dòng tiền theo hợp đồng VND,Trong vòng 1 năm VND,1 – 2 năm VND,2 – 5 năm VND,Trên 5 năm VND,numeric__Giá trị ghi số VND,numeric__Dòng tiền theo hợp đồng VND,numeric__Trong vòng 1 năm VND,numeric__1 – 2 năm VND,numeric__2 – 5 năm VND,numeric__Trên 5 năm VND
Phải trả người bán,Phải trả người bán,Phải trả người bán,2.561.910.262.979,2.561.910.262.979,2.561.910.262.979,-,-,-,2561910262979.0,2561910262979.0,2561910262979.0,,,
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,192.349.429.102,192.349.429.102,192.349.429.102,-,-,-,192349429102.0,192349429102.0,192349429102.0,,,
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,1.025.974.683.705,1.025.974.683.705,1.025.974.683.705,-,-,-,1025974683705.0,1025974683705.0,1025974683705.0,,,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,592.099.957.922,592.099.957.922,592.099.957.922,-,-,-,592099957922.0,592099957922.0,592099957922.0,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.332.666.200.200,1.344.537.512.722,1.344.537.512.722,-,-,-,1332666200200.0,1344537512722.0,1344537512722.0,,,
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,589.208.918,589.208.918,-,589.208.918,-,-,589208918.0,589208918.0,,589208918.0,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,326.970.398.182,364.085.654.849,15.584.306.667,8.612.380.000,330.718.570.000,9.170.398.182,326970398182.0,364085654849.0,15584306667.0,8612380000.0,330718570000.0,9170398182.0
,,,6.032.560.141.008,6.081.546.710.197,5.732.456.153.097,9.201.588.918,330.718.570.000,9.170.398.182,6032560141008.0,6081546710197.0,5732456153097.0,9201588918.0,330718570000.0,9170398182.0
Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,Ngày 1 tháng 1 năm 2016,,,,,,
,,,Giá trị ghi số VND,Dòng tiền theo hợp đồng VND,Trong vòng 1 năm VND,1 – 2 năm VND,2 – 5 năm VND,Trên 5 năm VND,,,,,,
Phải trả người bán,Ngày 1 tháng 1 năm 2016 > Phải trả người bán,Phải trả người bán,2.193.602.809.261,2.193.602.809.261,2.193.602.809.261,-,-,-,2193602809261.0,2193602809261.0,2193602809261.0,,,
Phải trả người lao động,Ngày 1 tháng 1 năm 2016 > Phải trả người lao động,Phải trả người lao động,452.476.117.228,452.476.117.228,452.476.117.228,-,-,-,452476117228.0,452476117228.0,452476117228.0,,,
Chi phí phải trả,Ngày 1 tháng 1 năm 2016 > Chi phí phải trả,Chi phí phải trả,593.485.587.927,593.485.587.927,593.485.587.927,-,-,-,593485587927.0,593485587927.0,593485587927.0,,,
Phải trả ngắn hạn khác,Ngày 1 tháng 1 năm 2016 > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,644.468.337.067,644.468.337.067,644.468.337.067,-,-,-,644468337067.0,644468337067.0,644468337067.0,,,
Vay ngắn hạn,Ngày 1 tháng 1 năm 2016 > Vay ngắn hạn,Vay ngắn hạn,1.475.358.507.208,1.493.250.150.278,1.493.250.150.278,-,-,-,1475358507208.0,1493250150278.0,1493250150278.0,,,
Phải trả dài hạn khác,Ngày 1 tháng 1 năm 2016 > Phải trả dài hạn khác,Phải trả dài hạn khác,2.814.519.233,2.814.519.233,-,2.814.519.233,-,-,2814519233.0,2814519233.0,,2814519233.0,,
Vay dài hạn,Ngày 1 tháng 1 năm 2016 > Vay dài hạn,Vay dài hạn,368.170.178.853,397.799.646.142,33.297.676.461,101.787.994.278,251.889.000.000,10.824.975.403,368170178853.0,397799646142.0,33297676461.0,101787994278.0,251889000000.0,10824975403.0
,,,5.730.376.056.777,5.777.897.167.136,5.410.580.678.222,104.602.513.511,251.889.000.000,10.824.975.403,5730376056777.0,5777897167136.0,5410580678222.0,104602513511.0,251889000000.0,10824975403.0
