row_label_raw,row_label_full,col_0,Thuế suất (*),31/12/2016 VND,1/1/2016 VND,numeric__Thuế suất (*),numeric__31/12/2016 VND,numeric__1/1/2016 VND
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,
Phải thu khách hàng,Tài sản thuế thu nhập hoãn lại > Phải thu khách hàng,Phải thu khách hàng,40%,2.354.816.280,2.328.882.180,0.4,2354816280.0,2328882180.0
Hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Hàng tồn kho,Hàng tồn kho,40%,1.170.465.209,1.157.574.623,0.4,1170465209.0,1157574623.0
Giá trị thuế của các khoản lỗ mang sang,Tài sản thuế thu nhập hoãn lại > Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,40%,45.796.087.384,45.291.725.188,0.4,45796087384.0,45291725188.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,40%,6.138.857.752,6.071.249.187,0.4,6138857752.0,6071249187.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,40%,503.308.941,497.765.891,0.4,503308941.0,497765891.0
,,,,55.963.535.566,55.347.197.069,,55963535566.0,55347197069.0
Dự phòng định giá,Tài sản thuế thu nhập hoãn lại > Dự phòng định giá,Dự phòng định giá,40%,(42.225.681.578),(41.760.641.032),0.4,-42225681578.0,-41760641032.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,13.737.853.988,13.586.556.037,,13737853988.0,13586556037.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,
Tài sản cố định,Thuế thu nhập hoãn lại phải trả > Tài sản cố định,Tài sản cố định,40%,(103.616.162.711),(102.475.015.544),0.4,-103616162711.0,-102475015544.0
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,40%,(147.280.777),(145.658.743),0.4,-147280777.0,-145658743.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,(103.763.443.488),(102.620.674.287),,-103763443488.0,-102620674287.0
Tổng thuế thu nhập hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả > Tổng thuế thu nhập hoãn lại phải trả thuần,Tổng thuế thu nhập hoãn lại phải trả thuần,,(90.025.589.500),(89.034.118.250),,-90025589500.0,-89034118250.0
