row_label_raw,row_label_full,Bên cho vay > Sumitomo Mitsui Banking Corporation (i),Bên cho vay > Sumitomo Mitsui Banking Corporation (i)_1,Loại tiền > USD,"Lãi suất năm > 2,71%",Năm đáo hạn > 2020,31/12/2016 VND > 363.200.000.000,1/1/2016 VND > 246.950.000.000,numeric__Bên cho vay > Sumitomo Mitsui Banking Corporation (i)_1,numeric__Loại tiền > USD,"numeric__Lãi suất năm > 2,71%",numeric__Năm đáo hạn > 2020,numeric__31/12/2016 VND > 363.200.000.000,numeric__1/1/2016 VND > 246.950.000.000
Các cá nhân (ii),Các cá nhân (ii),Các cá nhân (ii),Các cá nhân (ii),VND,Không,2039,9.170.398.182,10.824.975.403,,,,2039.0,9170398182.0,10824975403.0
Wells Fargo,Wells Fargo,Wells Fargo,Wells Fargo,,,,,,,,,,,
▪ Khoản vay 1,Wells Fargo > ▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,USD,"2,375%",2016,-,98.690.200.000,,,0.02375,2016.0,,98690200000.0
▪ Khoản vay 2,Wells Fargo > ▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,USD,"2,375%",2016,-,33.436.603.450,,,0.02375,2016.0,,33436603450.0
,,,,,,,372.370.398.182,389.901.778.853,,,,,372370398182.0,389901778853.0
