row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,373.377.557.148,131.590.189.308,48.716.500.000,553.684.246.456,373377557148.0,131590189308.0,48716500000.0,553684246456.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.340.358.000,-,1.340.358.000,,1340358000.0,,1340358000.0
Chênh lệch quy đổi,Nguyên giá > Chênh lệch quy đổi,Chênh lệch quy đổi,2.303.678.257,20.245.000,542.500.000,2.866.423.257,2303678257.0,20245000.0,542500000.0,2866423257.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,375.681.235.405,132.950.792.308,49.259.000.000,557.891.027.713,375681235405.0,132950792308.0,49259000000.0,557891027713.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.543.438.045,76.751.381.576,31.600.178.858,134.894.998.479,26543438045.0,76751381576.0,31600178858.0,134894998479.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.178.493.690,14.312.501.244,1.394.642.240,17.885.637.174,2178493690.0,14312501244.0,1394642240.0,17885637174.0
Chênh lệch quy đổi,Giá trị hao mòn lũy kế > Chênh lệch quy đổi,Chênh lệch quy đổi,-,6.119.389,374.178.902,380.298.291,,6119389.0,374178902.0,380298291.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,28.721.931.735,91.070.002.209,33.369.000.000,153.160.933.944,28721931735.0,91070002209.0,33369000000.0,153160933944.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,346.834.119.103,54.838.807.732,17.116.321.142,418.789.247.977,346834119103.0,54838807732.0,17116321142.0,418789247977.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,346.959.303.670,41.880.790.099,15.890.000.000,404.730.093.769,346959303670.0,41880790099.0,15890000000.0,404730093769.0
