row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,VND > Triệu VND,Các ngoại tệ khácđược quy đổi > Triệu VND,Tổng > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__VND > Triệu VND,numeric__Các ngoại tệ khácđược quy đổi > Triệu VND,numeric__Tổng > Triệu VND
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",120.114,548.152,4.509.333,9.533,5.187.132,120114.0,548152.0,4509333.0,9533.0,5187132.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,3.091.803,10.410.791,-,13.502.594,,3091803.0,10410791.0,,13502594.0
Tiền gửi và cho vay các TCTD khác (*),Tải sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),3.334.212,23.820.091,66.652.468,662.510,94.469.281,3334212.0,23820091.0,66652468.0,662510.0,94469281.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,1.974.670,-,1.974.670,,,1974670.0,,1974670.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,682.690,-,682.690,,,682690.0,,682690.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),2.171.734,78.411.074,581.404.989,-,661.987.797,2171734.0,78411074.0,581404989.0,,661987797.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,137.316.915,-,137.316.915,,,137316915.0,,137316915.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,1.688.788,1.516.423,-,3.205.211,,1688788.0,1516423.0,,3205211.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,68.141,-,10.547.177,-,10.615.318,68141.0,,10547177.0,,10615318.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),924.406,1.689.985,27.179.420,-,29.793.811,924406.0,1689985.0,27179420.0,,29793811.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,6.618.607,109.249.893,842.194.876,672.043,958.735.419,6618607.0,109249893.0,842194876.0,672043.0,958735419.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,4.808.417,-,4.808.417,,,4808417.0,,4808417.0
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,1.367.393,37.875.038,45.908.898,538,85.151.867,1367393.0,37875038.0,45908898.0,538.0,85151867.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,3.649.467,41.686.641,609.605.131,118.909,655.060.148,3649467.0,41686641.0,609605131.0,118909.0,655060148.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",192.709,5.072.233,808.445,2.081,6.075.468,192709.0,5072233.0,808445.0,2081.0,6075468.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,5.536.450,18.313.003,-,23.849.453,,5536450.0,18313003.0,,23849453.0
Các khoản nợ khác (*),Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác (*),Các khoản nợ khác (*),1.469.646,1.115.186,110.531.975,-,113.116.807,1469646.0,1115186.0,110531975.0,,113116807.0
Vốn và các quỹ,Nợ phải trả và vốn chủ sở hữu > Vốn và các quỹ,Vốn và các quỹ,-,-,60.399.403,-,60.399.403,,,60399403.0,,60399403.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,6.679.215,91.285.548,850.375.272,121.528,948.461.563,6679215.0,91285548.0,850375272.0,121528.0,948461563.0
Trạng thái tiền tệ nội bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(60.608),17.964.345,(8.180.396),550.515,10.273.856,-60608.0,17964345.0,-8180396.0,550515.0,10273856.0
