row_label_raw,row_label_full,01.,Mua sắm tài sản cố định,(1.852.272),(1.912.423),numeric__Mua sắm tài sản cố định,numeric__(1.852.272),numeric__(1.912.423)
02.,02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",13.348,233.554,,13348.0,233554.0
03.,03.,03.,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",(8.573),(18.308),,-8573.0,-18308.0
04.,04.,04.,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(24.000),(13.860),,-24000.0,-13860.0
05.,05.,05.,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",219.588,39.705,,219588.0,39705.0
06.,06.,06.,"Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",112.602,373.492,,112602.0,373492.0
II.,II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(1.539.307),(1.297.840),,-1539307.0,-1297840.0
LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01.,01.,Cổ tức trả cho cố động,-,(3.723.405),,,-3723405.0
III.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,-,(3.723.405),,,-3723405.0
IV.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV.,IV.,Lưu chuyển tiền thuần trong năm,32.890.701,(6.224.571),,32890701.0,-6224571.0
V.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > V.,V.,Tiền và các khoản tương đương tiền đầu năm,80.882.722,87.064.648,,80882722.0,87064648.0
VI.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI.,VI.,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,41.526,42.645,,41526.0,42645.0
VII.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII.,VII.,Tiền và các khoản tương đương tiền cuối năm (Thuyết minh số 37),113.814.949,80.882.722,,113814949.0,80882722.0
