row_label_raw,row_label_full,col_0,Số cuối năm > Nguyên giá theo nguyên tệ USD,Số cuối năm > Giá gốc quy đổi Triệu VND,Số cuối năm > Giá trị ròng của khoản đầu tư theo phương pháp VCSH Triệu VND,Số cuối năm > Tỷ lệ sở hữu %,Số đầu năm > Nguyên giá theo nguyên tệ USD,Số đầu năm > Giá gốc quy đổi Triệu VND,Số đầu năm > Giá trị ròng của khoản đầu tư theo phương pháp VCSH Triệu VND,Số đầu năm > Tỷ lệ sở hữu %,numeric__Số cuối năm > Nguyên giá theo nguyên tệ USD,numeric__Số cuối năm > Giá gốc quy đổi Triệu VND,numeric__Số cuối năm > Giá trị ròng của khoản đầu tư theo phương pháp VCSH Triệu VND,numeric__Số cuối năm > Tỷ lệ sở hữu %,numeric__Số đầu năm > Nguyên giá theo nguyên tệ USD,numeric__Số đầu năm > Giá gốc quy đổi Triệu VND,numeric__Số đầu năm > Giá trị ròng của khoản đầu tư theo phương pháp VCSH Triệu VND,numeric__Số đầu năm > Tỷ lệ sở hữu %
Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,96.500.000,1.688.788,2.590.905,50,96.500.000,1.688.788,2.464.219,50,96500000.0,1688788.0,2590905.0,50.0,96500000.0,1688788.0,2464219.0,50.0
Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,không áp dụng,400.000,183.861,50,không áp dụng,400.000,318.626,50,,400000.0,183861.0,50.0,,400000.0,318626.0,50.0
,,,,2.088.788,2.774.766,,,2.088.788,2.782.845,,,2088788.0,2774766.0,,,2088788.0,2782845.0,
