row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải,TSCĐkhác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải,numeric__TSCĐkhác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.351.033,4.243.435,997.730,154.140,9.746.338,4351033.0,4243435.0,997730.0,154140.0,9746338.0
Mua sắm trongnăm,Nguyên giá > Mua sắm trongnăm,Mua sắm trongnăm,1.646.667,197.398,181.476,55.612,2.081.153,1646667.0,197398.0,181476.0,55612.0,2081153.0
Đầu tư XDCBhoàn thành,Nguyên giá > Đầu tư XDCBhoàn thành,Đầu tư XDCBhoàn thành,713.903,14.799,3.528,5.523,737.753,713903.0,14799.0,3528.0,5523.0,737753.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,28.501,1.806,770,-,31.077,28501.0,1806.0,770.0,,31077.0
"Thanh lý,nhuộng bán","Nguyên giá > Thanh lý,nhuộng bán","Thanh lý,nhuộng bán",(16.401),(26.541),(8.451),(1.389),(52.782),-16401.0,-26541.0,-8451.0,-1389.0,-52782.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(421),1.900,-,(1.709),(230),-421.0,1900.0,,-1709.0,-230.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(2.918),(1.553),(111),(398),(4.980),-2918.0,-1553.0,-111.0,-398.0,-4980.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.720.364,4.431.244,1.174.942,211.779,12.538.329,6720364.0,4431244.0,1174942.0,211779.0,12538329.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.170.495,3.425.503,670.409,104.954,5.371.361,1170495.0,3425503.0,670409.0,104954.0,5371361.0
Khẩu hao trongnăm,Giá trị hao mòn lũy kế > Khẩu hao trongnăm,Khẩu hao trongnăm,256.275,374.871,116.422,23.898,771.466,256275.0,374871.0,116422.0,23898.0,771466.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,14.422,927,31,-,15.380,14422.0,927.0,31.0,,15380.0
"Thanh lý,nhuộng bán","Giá trị hao mòn lũy kế > Thanh lý,nhuộng bán","Thanh lý,nhuộng bán",(3.456),(26.524),(8.446),(1.495),(39.921),-3456.0,-26524.0,-8446.0,-1495.0,-39921.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(20),1.716,-,(1.696),-,-20.0,1716.0,,-1696.0,
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(1.194),(1.134),(80),(20),(2.428),-1194.0,-1134.0,-80.0,-20.0,-2428.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.436.522,3.775.359,778.336,125.641,6.115.858,1436522.0,3775359.0,778336.0,125641.0,6115858.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.283.842,655.885,396.606,86.138,6.422.471,5283842.0,655885.0,396606.0,86138.0,6422471.0
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.180.538,817.932,327.321,49.186,4.374.977,3180538.0,817932.0,327321.0,49186.0,4374977.0
