row_label_raw,row_label_full,STT,CHÌ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHÌ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,19,4.808.417,13.227.115,,19.0,4808417.0,13227115.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,20,85.151.867,99.169.216,,20.0,85151867.0,99169216.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,41.346.232,43.399.347,,,41346232.0,43399347.0
2.,B. > 2.,2.,Vay các TCTD khác,,43.805.635,55.769.869,,,43805635.0,55769869.0
III.,B. > III.,III.,Tiền gửi của khách hàng,21,655.060.148,492.960.064,,21.0,655060148.0,492960064.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,-,117.619,,8.0,,117619.0
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",22,6.075.468,54.237.247,,22.0,6075468.0,54237247.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,23,23.849.453,20.860.497,,23.0,23849453.0,20860497.0
VII.,B. > VII.,VII.,Các khoản nợ khác,,113.354.267,42.801.583,,,113354267.0,42801583.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,9.944.825,5.971.380,,,9944825.0,5971380.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,24,103.171.982,36.711.027,,24.0,103171982.0,36711027.0
3.,B. > 3.,3.,Dự phòng rủi ro khác,24,237.460,119.176,,24.0,237460.0,119176.0
,,,TỔNG NỘ PHẢI TRẢ,,888.299.620,723.373.341,,,888299620.0,723373341.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,26,60.399.403,56.110.146,,26.0,60399403.0,56110146.0
1.,B. > 1.,1.,Vốn của TCTD,,46.208.767,46.208.778,,,46208767.0,46208778.0
a.,B. > a.,a.,Vốn điều lệ,,37.234.046,37.234.046,,,37234046.0,37234046.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,8.974.721,8.974.732,,,8974721.0,8974732.0
2.,B. > 2.,2.,Quỹ của TCTD,,6.366.898,5.275.032,,,6366898.0,5275032.0
3.,B. > 3.,3.,Chênh lệch tỷ giá hối đoái,,480.011,441.537,,,480011.0,441537.0
4.,B. > 4.,4.,Lợi nhuận sau thuế chưa phân phối,,7.083.394,3.942.373,,,7083394.0,3942373.0
5.,B. > 5.,5.,Lợi ích của cổ đông không kiểm soát,,260.333,242.426,,,260333.0,242426.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,948.699.023,779.483.487,,,948699023.0,779483487.0
