row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiên gửi (tài sản),Tổng tiên gửi (công nợ),Các cam kết tin dụng,Công cụ tài chính phải sinh (Chênh lệch dư nợ - du có),Kinh doanh và đầu tư chứng khoán (Chênh lệch dư nợ - du có),numeric__Tổng dư nợ cho vay,numeric__Tổng tiên gửi (tài sản),numeric__Tổng tiên gửi (công nợ),numeric__Các cam kết tin dụng,numeric__Công cụ tài chính phải sinh (Chênh lệch dư nợ - du có),numeric__Kinh doanh và đầu tư chứng khoán (Chênh lệch dư nợ - du có)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Trong nước,Trong nước,Trong nước,660.082.641,102.556.092,692.433.062,90.853.242,682.690,139.291.585,660082641.0,102556092.0,692433062.0,90853242.0,682690.0,139291585.0
Nước ngoài,Nước ngoài,Nước ngoài,5.342.609,1.978.330,3.973.508,177.427,-,-,5342609.0,1978330.0,3973508.0,177427.0,,
,,,665.425.250,104.534.422,696.406.570,91.030.669,682.690,139.291.585,665425250.0,104534422.0,696406570.0,91030669.0,682690.0,139291585.0
