row_label_raw,row_label_full,col_0,Không chịu lãi,Quá hạn,Quá hạn_1,Quá hạn_2,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Không chịu lãi,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
,,,Không chịu lãi,Trên 03 tháng,Đến 03 tháng,Đến 01 tháng,Từ 01-03 tháng,Từ 03-06 tháng,Từ 06 -12 tháng,Từ 01-05 năm,Trên 05 năm,Tổng,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.187.132,-,-,-,-,-,-,-,-,5.187.132,5187132.0,,,,,,,,,5187132.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,13.502.594,-,-,-,-,-,13.502.594,,,,13502594.0,,,,,,13502594.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,-,84.705.564,8.014.627,500.000,1.249.090,-,-,94.469.281,,,,84705564.0,8014627.0,500000.0,1249090.0,,,94469281.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,1.974.670,-,-,-,-,-,1.974.670,,,,1974670.0,,,,,,1974670.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,682.690,-,-,-,-,-,682.690,,,,682690.0,,,,,,682690.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,6.742.800,5.558.981,522.055.453,95.206.917,26.070.476,1.631.951,1.889.673,2.831.546,661.987.797,,6742800.0,5558981.0,522055453.0,95206917.0,26070476.0,1631951.0,1889673.0,2831546.0,661987797.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),628.095,-,-,15.552.900,24.713.336,7.728.288,9.479.821,56.702.761,22.511.714,137.316.915,628095.0,,,15552900.0,24713336.0,7728288.0,9479821.0,56702761.0,22511714.0,137316915.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",3.205.211,-,-,-,-,-,-,-,-,3.205.211,3205211.0,,,,,,,,,3205211.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,10.615.318,-,-,-,-,-,-,-,-,10.615.318,10615318.0,,,,,,,,,10615318.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),29.793.811,-,-,-,-,-,-,-,-,29.793.811,29793811.0,,,,,,,,,29793811.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,49.429.567,6.742.800,5.558.981,638.473.871,127.934.880,34.298.764,12.360.862,58.592.434,25.343.260,958.735.419,49429567.0,6742800.0,5558981.0,638473871.0,127934880.0,34298764.0,12360862.0,58592434.0,25343260.0,958735419.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,241.271,1.065.455,1.270.540,2.231.151,-,-,4.808.417,,,,241271.0,1065455.0,1270540.0,2231151.0,,,4808417.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,51.471.241,18.693.292,12.394.257,2.593.077,-,-,85.151.867,,,,51471241.0,18693292.0,12394257.0,2593077.0,,,85151867.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,213.934.130,154.326.414,136.822.162,141.733.340,8.242.620,1.482,655.060.148,,,,213934130.0,154326414.0,136822162.0,141733340.0,8242620.0,1482.0,655060148.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,3.286,1.410,3.285.897,15.000,2.769.875,-,6.075.468,,,,3286.0,1410.0,3285897.0,15000.0,2769875.0,,6075468.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,187,10.508,5.538.758,-,18.300.000,-,23.849.453,,,,187.0,10508.0,5538758.0,,18300000.0,,23849453.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),113.116.807,-,-,-,-,-,-,-,-,113.116.807,113116807.0,,,,,,,,,113116807.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,113.116.807,-,-,265.650.115,174.097.079,159.311.614,146.572.568,29.312.495,1.482,888.062.160,113116807.0,,,265650115.0,174097079.0,159311614.0,146572568.0,29312495.0,1482.0,888062160.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,(63.687.240),6.742.800,5.558.981,372.823.756,(46.162.199),(125.012.850),(134.211.706),29.279.939,25.341.778,70.673.259,-63687240.0,6742800.0,5558981.0,372823756.0,-46162199.0,-125012850.0,-134211706.0,29279939.0,25341778.0,70673259.0
