row_label_raw,row_label_full,STT CHÌ TIÊU,STT CHÌ TIÊU_1,Dịch vụ tài chính ngân hàng,Dịch vụ tài chính phi ngân hàng,Khác,Điều chỉnh,Tổng cộng,numeric__STT CHÌ TIÊU_1,numeric__Dịch vụ tài chính ngân hàng,numeric__Dịch vụ tài chính phi ngân hàng,numeric__Khác,numeric__Điều chỉnh,numeric__Tổng cộng
STT CHÌ TIÊU,STT CHÌ TIÊU,STT CHÌ TIÊU,STT CHÌ TIÊU,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
I.,STT CHÌ TIÊU > I.,I.,Doanh thu,60.951.148,1.335.713,1.456.972,(237.181),63.506.652,,60951148.0,1335713.0,1456972.0,-237181.0,63506652.0
1.,STT CHÌ TIÊU > 1.,1.,Doanh thu lãi,52.626.389,346.981,106.625,(89.297),52.990.698,,52626389.0,346981.0,106625.0,-89297.0,52990698.0
,,,- Doanh thu lãi từ khách hàng bên ngoài,52.556.600,335.220,98.878,-,52.990.698,,52556600.0,335220.0,98878.0,,52990698.0
,,,- Doanh thu lãi từ khách hàng nội bộ,69.789,11.761,7.747,(89.297),-,,69789.0,11761.0,7747.0,-89297.0,
2.,STT CHÌ TIÊU > 2.,2.,Thu nhập từ hoạt động dịch vụ,2.552.924,887.521,24.408,(130.356),3.334.497,,2552924.0,887521.0,24408.0,-130356.0,3334497.0
3.,STT CHÌ TIÊU > 3.,3.,Thu nhập từ hoạt động kinh doanh khác,5.771.835,101.211,1.325.939,(17.528),7.181.457,,5771835.0,101211.0,1325939.0,-17528.0,7181457.0
II.,STT CHÌ TIÊU > II.,II.,Chi phí,(47.623.472),(1.163.563),(1.359.389),231.358,(49.915.066),,-47623472.0,-1163563.0,-1359389.0,231358.0,-49915066.0
1.,STT CHÌ TIÊU > 1.,1.,Chi phí lãi,(30.631.689),(31.702),(13.665),91.350,(30.585.706),,-30631689.0,-31702.0,-13665.0,91350.0,-30585706.0
,,,- Chi phí lãi từ khách hàng bên ngoài,(30.570.061),(4.033),(11.612),-,(30.585.706),,-30570061.0,-4033.0,-11612.0,,-30585706.0
,,,- Chi phí lãi từ khách hàng nội bộ,(61.628),(27.669),(2.053),91.350,-,,-61628.0,-27669.0,-2053.0,91350.0,
2.,STT CHÌ TIÊU > 2.,2.,Chi phí khấu hao TSCĐ,(908.907),(7.247),(5.063),-,(921.217),,-908907.0,-7247.0,-5063.0,,-921217.0
3.,STT CHÌ TIÊU > 3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(16.082.876),(1.124.614),(1.340.661),140.008,(18.408.143),,-16082876.0,-1124614.0,-1340661.0,140008.0,-18408143.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,STT CHÌ TIÊU > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,13.327.676,172.150,97.583,(5.823),13.591.586,,13327676.0,172150.0,97583.0,-5823.0,13591586.0
Chi phí dự phòng rủi ro,STT CHÌ TIÊU > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(5.009.505),(10.992),(1.607),-,(5.022.104),,-5009505.0,-10992.0,-1607.0,,-5022104.0
Kết quả kinh doanh bộ phận trước thuế,STT CHÌ TIÊU > Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,8.318.171,161.158,95.976,(5.823),8.569.482,,8318171.0,161158.0,95976.0,-5823.0,8569482.0
Chi phí thuế TNDN hiện hành,STT CHÌ TIÊU > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.642.110),(48.430),(21.381),,(1.711.921),,-1642110.0,-48430.0,-21381.0,,-1711921.0
Chi phí thuế TNDN hoãn lại,STT CHÌ TIÊU > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,289,-,-,289,,,289.0,,,289.0
Kết quả kinh doanh bộ phận sau thuế,STT CHÌ TIÊU > Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,6.676.061,113.017,74.595,(5.823),6.857.850,,6676061.0,113017.0,74595.0,-5823.0,6857850.0
III.,STT CHÌ TIÊU > III.,III.,Tài sản,949.489.135,4.556.952,1.921.656,(7.268.720),948.699.023,,949489135.0,4556952.0,1921656.0,-7268720.0,948699023.0
1.,STT CHÌ TIÊU > 1.,1.,Tiền mặt,5.155.469,3.324,28.339,-,5.187.132,,5155469.0,3324.0,28339.0,,5187132.0
2.,STT CHÌ TIÊU > 2.,2.,Tài sản cố định,10.509.410,57.880,48.028,-,10.615.318,,10509410.0,57880.0,48028.0,,10615318.0
3.,STT CHÌ TIÊU > 3.,3.,Tài sản khác,933.824.256,4.495.748,1.845.289,(7.268.720),932.896.573,,933824256.0,4495748.0,1845289.0,-7268720.0,932896573.0
IV.,STT CHÌ TIÊU > IV.,IV.,Nợ phải trả,889.157.815,1.830.120,542.687,(3.231.002),888.299.620,,889157815.0,1830120.0,542687.0,-3231002.0,888299620.0
1.,STT CHÌ TIÊU > 1.,1.,Nợ phải trả bên ngoài,886.648.726,1.373.865,519.897,(3.231.002),885.311.486,,886648726.0,1373865.0,519897.0,-3231002.0,885311486.0
2.,STT CHÌ TIÊU > 2.,2.,Nợ phải trả nội bộ,2.509.089,456.255,22.790,-,2.988.134,,2509089.0,456255.0,22790.0,,2988134.0
