row_label_raw,row_label_full,Bên liên quan,Quan hệ,Các giao dịch,Phải thu,Phải trả,numeric__Quan hệ,numeric__Các giao dịch,numeric__Phải thu,numeric__Phải trả
Bên liên quan,Bên liên quan,Bên liên quan,Quan hệ,Các giao dịch,Triệu VND,Triệu VND,,,,
Ngân hàng Nhà nước Việt Nam,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Sở hữu và quản lý trực tiếp,Tiền gửi thanh toán và dự trữ bắt buộc,13.502.594,-,,,13502594.0,
Ngân hàng Nhà nước Việt Nam,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Sở hữu và quản lý trực tiếp,Tiền vay NHNN,-,4.808.227,,,,4808227.0
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Công ty liên doanh,Tiền gửi của bên liên quan,-,4.239.457,,,,4239457.0
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Công ty liên doanh,Tiền gửi tại bên liên quan,4.003.724,-,,,4003724.0,
Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,Bên liên quan > Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,Công ty TNHH Bảo hiểm Nhân thọ Vietinbank Aviva,Công ty liên doanh,Tiền gửi của bên liên quan,-,146.869,,,,146869.0
