row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập số,Lĩnh vực hoạt động chính,% sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Quyết định thành lập số,numeric__Lĩnh vực hoạt động chính,numeric__% sở hữu của Ngân hàng
1,1,1,Công ty Cho thuê tài chính TNHH MTV - Ngân hàng TMCP Công thương Việt Nam,0101047075/GP của Sở Kế hoạch và Đầu tư thành phố Hà Nội cấp ngày 10 tháng 3 năm 2011,Tài chính ngân hàng,100%,,,,1.0
2,2,2,Công ty Cổ phần Chứng khoán - Ngân hàng TMCP Công thương Việt Nam,107/UBCK-GP ngày 01 tháng 7 năm 2009 của Ủy ban Chứng khoán Nhà nước,Thị trường chứng khoán,76%,,,,0.76
3,3,3,Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản - Ngân hàng TMCP Công thương Việt Nam,0302077030/GP của Sở Kế hoạch và Đầu tư thành phố Hồ Chí Minh cấp ngày 20 tháng 7 năm 2010,Quản lý tài sản,100%,,,,1.0
4,4,4,Công ty TNHH MTV Bảo hiểm - Ngân hàng TMCP Công thương Việt Nam,21/GPĐC6/KDBH ngày 21 tháng 4 năm 2009 của Bộ Tài chính,Bảo hiểm phi nhân thọ,100%,,,,1.0
5,5,5,Công ty TNHH MTV Vàng bạc đá quý - Ngân hàng TMCP Công thương Việt Nam,0105011873/GP của Sở Kế hoạch và Đầu tư thành phố Hà Nội cấp ngày 25 tháng 11 năm 2010,"Kinh doanh, sản xuất, gia công, chế tác vàng bạc đá quý",100%,,,,1.0
6,6,6,Công ty TNHH MTV Quản lý Quỹ - Ngân hàng TMCP Công thương Việt Nam,50/UBCK-GP ngày 26 tháng 10 năm 2010 của Ủy ban Chứng khoán Nhà nước,Quản lý quỹ,100%,,,,1.0
7,7,7,Công ty TNHH MTV Chuyển tiền Toàn cầu - Ngân hàng TMCP Công thương Việt Nam,0105757686 của Sở Kế hoạch và Đầu tư thành phố Hà Nội cấp ngày 03 tháng 01 năm 2012,Hoạt động trung gian tiền tệ,100%,,,,1.0
8,8,8,Ngân hàng TNHH Công thương Việt Nam tại Lào,068/NHCHDCNDL của Ngân hàng CHDCND Lào cấp ngày 08 tháng 7 năm 2015,Tài chính ngân hàng,100%,,,,1.0
