row_label_raw,row_label_full,col_0,Tài sản tài chính,Tài sản tài chính_1,Tài sản tài chính_2,Tài sản tài chính_3,Tài sản tài chính_4,numeric__Tài sản tài chính,numeric__Tài sản tài chính_1,numeric__Tài sản tài chính_2,numeric__Tài sản tài chính_3,numeric__Tài sản tài chính_4
,,,Kinh doanh,Giữ đến ngàyđáo hạn,Cho vay và các khoản phải thu,Sản sàngđế bán,Tổng cộng,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.187.132,-,-,-,5.187.132,5187132.0,,,,5187132.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,13.502.594,-,-,-,13.502.594,13502594.0,,,,13502594.0
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,94.469.281,-,94.469.281,,,94469281.0,,94469281.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.974.669,-,-,-,1.974.669,1974669.0,,,,1974669.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,682.690,-,-,-,682.690,682690.0,,,,682690.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,661.987.797,-,661.987.797,,,661987797.0,,661987797.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,-,11.743.021,-,125.573.894,137.316.915,,11743021.0,,125573894.0,137316915.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,430.445,430.445,,,,430445.0,430445.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,-,-,2.694.038,-,2.694.038,,,2694038.0,,2694038.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,-,14.207.830,-,14.207.830,,,14207830.0,,14207830.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,-,-,1.436,-,1.436,,,1436.0,,1436.0
,,,21.347.085,11.743.021,773.360.382,126.004.339,932.454.827,21347085.0,11743021.0,773360382.0,126004339.0,932454827.0
