row_label_raw,row_label_full,col_0,Số cuối nămTriệu VND,Số đầu nămTriệu VND,numeric__Số cuối nămTriệu VND,numeric__Số đầu nămTriệu VND
"Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác",95.217.477,31.213.296,95217477.0,31213296.0
Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,246.723,44.055,246723.0,44055.0
Thuế TNDN phải trả,Thuế TNDN phải trả,Thuế TNDN phải trả,200.743,155.920,200743.0,155920.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,822.837,933.961,822837.0,933961.0
Điều chuyển vốn chờ thanh toán,Điều chuyển vốn chờ thanh toán,Điều chuyển vốn chờ thanh toán,4.942,13.727,4942.0,13727.0
Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,224.709,303.526,224709.0,303526.0
Thuế và phí phải trả,Thuế và phí phải trả,Thuế và phí phải trả,119.600,83.759,119600.0,83759.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,85.290,79.484,85290.0,79484.0
Các khoản phải trả liên quan đến hoạt động tài trợ thường mại,Các khoản phải trả liên quan đến hoạt động tài trợ thường mại,Các khoản phải trả liên quan đến hoạt động tài trợ thường mại,6.000,7.799,6000.0,7799.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,147.345,94.118,147345.0,94118.0
Phải trả cho nhà thầu xây dựng,Phải trả cho nhà thầu xây dựng,Phải trả cho nhà thầu xây dựng,51.735,80.753,51735.0,80753.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,2.606.383,-,2606383.0,
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,444.582,426.450,444582.0,426450.0
,,,100.178.366,33.436.848,100178366.0,33436848.0
