row_label_raw,row_label_full,STT CHỈ TIÊU,STT CHỈ TIÊU_1,Miền Bắc (*) > Triệu VND,Miền Nam > Triệu VND,Khác > Triệu VND,Điều chỉnh > Triệu VND,Tổng cộng > Triệu VND,numeric__STT CHỈ TIÊU_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Khác > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Kết quả kinh doanh bộ phận trước thuế,3.767.338,3.393.000,1.409.144,-,8.569.482,,3767338.0,3393000.0,1409144.0,,8569482.0
I.,I.,I.,Chi phí thuế TNDN hiên hành,(1.694.172),(1.360),(16.389),-,(1.711.921),,-1694172.0,-1360.0,-16389.0,,-1711921.0
I.,I.,I.,Chi phí thuế TNDN hoãn lai,289,-,-,-,289,,289.0,,,,289.0
II.,II.,II.,Kết quả kinh doanh bộ phận sau thuế,2.073.455,3.391.640,1.392.755,-,6.857.850,,2073455.0,3391640.0,1392755.0,,6857850.0
III.,III.,III.,Tài sản bộ phận,594.891.924,288.307.301,72.768.518,(7.268.720),948.699.023,,594891924.0,288307301.0,72768518.0,-7268720.0,948699023.0
IV.,IV.,IV.,Ng phải trả bộ phận,537.845.292,283.392.081,70.293.249,(3.231.002),888.299.620,,537845292.0,283392081.0,70293249.0,-3231002.0,888299620.0
