row_label_raw,row_label_full,col_0,Giá trị ghi số(Không bao gồm dự phòng) > Số cuối năm,Giá trị ghi số(Không bao gồm dự phòng) > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi số(Không bao gồm dự phòng) > Số cuối năm,numeric__Giá trị ghi số(Không bao gồm dự phòng) > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.187.132,5.090.768,5.187.132,5.090.768,5187132.0,5090768.0,5187132.0,5090768.0
"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")","Tài sản tài chính > Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",13.502.594,11.892.969,13.502.594,11.892.969,13502594.0,11892969.0,13502594.0,11892969.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,94.469.281,66.018.789,(*),(*),94469281.0,66018789.0,,
Chứng khoán kinh doanh - Chứng khoán vốn có giá thị trường tham chiếu,Tài sản tài chính > Chứng khoán kinh doanh - Chứng khoán vốn có giá thị trường tham chiếu,Chứng khoán kinh doanh - Chứng khoán vốn có giá thị trường tham chiếu,441.257,161.502,363.960,135.498,441257.0,161502.0,363960.0,135498.0
Chứng khoán kinh doanh - Chứng khoán vốn không có giá thị trường tham chiếu,Tài sản tài chính > Chứng khoán kinh doanh - Chứng khoán vốn không có giá thị trường tham chiếu,Chứng khoán kinh doanh - Chứng khoán vốn không có giá thị trường tham chiếu,30.606,11.830,(*),(*),30606.0,11830.0,,
Chứng khoán kinh doanh - Chứng khoán nợ,Tài sản tài chính > Chứng khoán kinh doanh - Chứng khoán nợ,Chứng khoán kinh doanh - Chứng khoán nợ,1.502.806,3.200.074,(*),(*),1502806.0,3200074.0,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,682.690,-,(*),(*),682690.0,,,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,661.987.797,538.079.829,(*),(*),661987797.0,538079829.0,,
Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,Tài sản tài chính > Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,Chứng khoán đầu tư - Chứng khoán vốn có giá thị trường tham chiếu,499.902,274.036,335.048,211.872,499902.0,274036.0,335048.0,211872.0
Chứng khoán đầu tư - Chứng khoán vốn không có giá thị trường tham chiếu,Tài sản tài chính > Chứng khoán đầu tư - Chứng khoán vốn không có giá thị trường tham chiếu,Chứng khoán đầu tư - Chứng khoán vốn không có giá thị trường tham chiếu,128.193,-,(*),(*),128193.0,,,
Chứng khoán đầu tư - Chứng khoán nợ,Tài sản tài chính > Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,136.688.820,121.594.901,(*),(*),136688820.0,121594901.0,,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,430.445,1.131.164,(*),(*),430445.0,1131164.0,,
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,2.694.038,1.098.294,(*),(*),2694038.0,1098294.0,,
"Các khoản lãi, phí phải thu","Tài sản tài chính > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",14.207.830,12.863.853,(*),(*),14207830.0,12863853.0,,
Tài sản Có khác,Tài sản tài chính > Tài sản Có khác,Tài sản Có khác,1.436,1.320,(*),(*),1436.0,1320.0,,
,,,932.454.827,761.419.329,,,932454827.0,761419329.0,,
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản nợ Chính phủ và NHNN,Công nợ tài chính > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,4.808.417,13.227.115,(*),(*),4808417.0,13227115.0,,
Tiền gửi và vay các TCTD khác,Công nợ tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,85.151.867,99.169.216,(*),(*),85151867.0,99169216.0,,
Tiền gửi của khách hàng,Công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,655.060.148,492.960.064,(*),(*),655060148.0,492960064.0,,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công nợ tài chính > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,117.619,(*),(*),,117619.0,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",6.075.468,54.237.247,(*),(*),6075468.0,54237247.0,,
