row_label_raw,row_label_full,col_0,Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > Số cuối năm,Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > Số đầu năm,numeric__Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > Số cuối năm,numeric__Giá trị ghi số tại thời điểm lập báo cáo (Triệu VND) > Số đầu năm
Bất động sản,Bất động sản,Bất động sản,676.252.304,573.334.087,676252304.0,573334087.0
Động sản,Động sản,Động sản,54.524.968,40.871.174,54524968.0,40871174.0
Chứng từ có giá,Chứng từ có giá,Chứng từ có giá,111.143.618,109.954.562,111143618.0,109954562.0
Tài sản khác,Tài sản khác,Tài sản khác,406.004.900,345.878.561,406004900.0,345878561.0
,,,1.247.925.790,1.070.038.384,1247925790.0,1070038384.0
