row_label_raw,row_label_full,Loại giấy tờ có giá,Kỳ phiếu,Trái phiếu vô danh,Trái phiếu ghi số,Chứng chỉ tiên gửi,Tổng cộng,numeric__Kỳ phiếu,numeric__Trái phiếu vô danh,numeric__Trái phiếu ghi số,numeric__Chứng chỉ tiên gửi,numeric__Tổng cộng
Loại giấy tờ có giá,Loại giấy tờ có giá,Loại giấy tờ có giá,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,,,,,
Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,,,,,
Mệnh giá,Dưới 12 tháng > Mệnh giá,Mệnh giá,229,-,-,1.219,1.448,229.0,,,1219.0,1448.0
Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,,,,,
Mệnh giá,Từ 12 tháng đến 5 năm > Mệnh giá,Mệnh giá,-,5.539.915,2.000.000,12.255,7.552.170,,5539915.0,2000000.0,12255.0,7552170.0
Chiết khấu,Từ 12 tháng đến 5 năm > Chiết khấu,Chiết khấu,-,(4.165),-,-,(4.165),,-4165.0,,,-4165.0
Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,,,,,
Mệnh giá,Trên 5 năm trở lên > Mệnh giá,Mệnh giá,-,-,16.300.000,-,16.300.000,,,16300000.0,,16300000.0
,,,229,5.535.750,18.300.000,13.474,23.849.453,229.0,5535750.0,18300000.0,13474.0,23849453.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,,,
Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,,,,,
Mệnh giá,Dưới 12 tháng > Mệnh giá,Mệnh giá,476,-,-,5.778.457,5.778.933,476.0,,,5778457.0,5778933.0
Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,,,,,
Mệnh giá,Từ 12 tháng đến 5 năm > Mệnh giá,Mệnh giá,-,5.472.670,-,1.624.082,7.096.752,,5472670.0,,1624082.0,7096752.0
Chiết khấu,Từ 12 tháng đến 5 năm > Chiết khấu,Chiết khấu,-,(15.188),-,-,(15.188),,-15188.0,,,-15188.0
Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,Trên 5 năm trở lên,,,,,
Mệnh giá,Trên 5 năm trở lên > Mệnh giá,Mệnh giá,-,-,8.000.000,-,8.000.000,,,8000000.0,,8000000.0
,,,476,5.457.482,8.000.000,7.402.539,20.860.497,476.0,5457482.0,8000000.0,7402539.0,20860497.0
