row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dưvớncố phần,Chênh lệchtỷ giá hốидoái,Quỹ đầu tưphát triển,Quỹ dựphòng tài chính,Quỹ dự trữ bổsung vốnđiều lệ,Lợi nhuậnsau thuếchưa phânphôi,Lợi ích củacố đôngkhông kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dưvớncố phần,numeric__Chênh lệchtỷ giá hốидoái,numeric__Quỹ đầu tưphát triển,numeric__Quỹ dựphòng tài chính,numeric__Quỹ dự trữ bổsung vốnđiều lệ,numeric__Lợi nhuậnsau thuếchưa phânphôi,numeric__Lợi ích củacố đôngkhông kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,37.234.046,8.974.732,441.537,4.424,3.478.726,1.791.882,3.942.373,242.426,56.110.146,37234046.0,8974732.0,441537.0,4424.0,3478726.0,1791882.0,3942373.0,242426.0,56110146.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,6.837.866,19.984,6.857.850,,,,,,,6837866.0,19984.0,6857850.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,10.178,688.111,348.373,(1.046.662),(2.073),(2.073),,,,10178.0,688111.0,348373.0,-1046662.0,-2073.0,-2073.0
Trả cổ tức trong năm,Trả cổ tức trong năm,Trả cổ tức trong năm,,,,,,,(2.606.383),-,(2.606.383),,,,,,,-2606383.0,,-2606383.0
Phân loại lại giữa các quỹ,Phân loại lại giữa các quỹ,Phân loại lại giữa các quỹ,-,-,-,33.702,(33.702),-,-,-,-,,,,33702.0,-33702.0,,,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,,-,-,(2.743),-,,,(2.743),,,,,-2743.0,,,,-2743.0
Tăng vốn bằng cổ phiếu củacông ty con trong năm,Tăng vốn bằng cổ phiếu củacông ty con trong năm,Tăng vốn bằng cổ phiếu củacông ty con trong năm,-,-,-,-,-,50.601,(50.601),-,-,,,,,,50601.0,-50601.0,,
Tăng do chuyển đổi báo cáotài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáotài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáotài chính cho mục đích hợp nhất,-,-,38.474,-,90,-,-,-,38.564,,,38474.0,,90.0,,,,38564.0
Khác,Khác,Khác,-,(11),-,-,(2.744),-,6.801,(4),4.042,,-11.0,,,-2744.0,,6801.0,-4.0,4042.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,37.234.046,8.974.721,480.011,48.304,4.127.738,2.190.856,7.083.394,260.333,60.399.403,37234046.0,8974721.0,480011.0,48304.0,4127738.0,2190856.0,7083394.0,260333.0,60399403.0
