row_label_raw,row_label_full,col_0,Mã CK,31/12/2023 > Giá gốc,31/12/2023 > Giá trị hợp lý,31/12/2023 > Dự phòng,01/01/2023 > Giá gốc,01/01/2023 > Giá trị hợp lý,01/01/2023 > Dự phòng,numeric__Mã CK,numeric__31/12/2023 > Giá gốc,numeric__31/12/2023 > Giá trị hợp lý,numeric__31/12/2023 > Dự phòng,numeric__01/01/2023 > Giá gốc,numeric__01/01/2023 > Giá trị hợp lý,numeric__01/01/2023 > Dự phòng
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,2.866.735.530.496,,(143.648.226.429),3.066.735.530.496,,(141.175.497.907),,2866735530496.0,,-143648226429.0,3066735530496.0,,-141175497907.0
- Công ty Cổ phần Sacom - Tuyền Lâm,- Công ty Cổ phần Sacom - Tuyền Lâm,- Công ty Cổ phần Sacom - Tuyền Lâm,,897.300.000.000,,(90.939.107.944),897.300.000.000,,(107.449.035.036),,897300000000.0,,-90939107944.0,897300000000.0,,-107449035036.0
- Công ty Cổ phần Dây và Cáp Sacom (3),- Công ty Cổ phần Dây và Cáp Sacom (3),- Công ty Cổ phần Dây và Cáp Sacom (3),SLD,499.600.000.000,,-,499.600.000.000,,-,,499600000000.0,,,499600000000.0,,
- Công ty Cổ phần Địa ốc Sacom,- Công ty Cổ phần Địa ốc Sacom,- Công ty Cổ phần Địa ốc Sacom,SLD,629.835.530.496,,(40.660.296.260),629.835.530.496,,(27.272.739.589),,629835530496.0,,-40660296260.0,629835530496.0,,-27272739589.0
- Công ty TNHH Sacom Chíp Sáng,- Công ty TNHH Sacom Chíp Sáng,- Công ty TNHH Sacom Chíp Sáng,SLD,118.000.000.000,,-,118.000.000.000,,-,,118000000000.0,,,118000000000.0,,
- Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,- Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,- Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,SLD,72.000.000.000,,(9.920.748.426),72.000.000.000,,(6.453.723.282),,72000000000.0,,-9920748426.0,72000000000.0,,-6453723282.0
- Công ty Cổ phần Capella Quảng Nam,- Công ty Cổ phần Capella Quảng Nam,- Công ty Cổ phần Capella Quảng Nam,,650.000.000.000,,(2.128.073.799),650.000.000.000,,-,,650000000000.0,,-2128073799.0,650000000000.0,,
- Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên (1),- Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên (1),- Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên (1),,-,,-,200.000.000.000,,-,,,,,200000000000.0,,
"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",,1.515.377.167.304,,(180.379.048.279),1.515.377.167.304,,(127.338.230.787),,1515377167304.0,,-180379048279.0,1515377167304.0,,-127338230787.0
- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (*) DSP,- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (*) DSP,- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (*) DSP,,534.052.970.000,838.086.385.000,(108.791.643.101),534.052.970.000,535.213.582.500,(109.590.017.915),,534052970000.0,838086385000.0,-108791643101.0,534052970000.0,535213582500.0,-109590017915.0
- Công ty Cổ phần Capella Việt Nam,- Công ty Cổ phần Capella Việt Nam,- Công ty Cổ phần Capella Việt Nam,,3.148.000.000,,(1.815.956.111),3.148.000.000,,(1.802.032.441),,3148000000.0,,-1815956111.0,3148000000.0,,-1802032441.0
- Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,- Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,- Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,,93.300.000.000,,(10.568.294.309),93.300.000.000,,(8.322.563.069),,93300000000.0,,-10568294309.0,93300000000.0,,-8322563069.0
- Công ty Cổ phần Phú Hữu Gia,- Công ty Cổ phần Phú Hữu Gia,- Công ty Cổ phần Phú Hữu Gia,,163.004.700.000,,(9.334.852.787),163.004.700.000,,(6.292.558.364),,163004700000.0,,-9334852787.0,163004700000.0,,-6292558364.0
- Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,- Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,- Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,,721.871.497.304,,(49.868.301.971),721.871.497.304,,(1.331.058.998),,721871497304.0,,-49868301971.0,721871497304.0,,-1331058998.0
