row_label_raw,row_label_full,Ông Hoàng Lê Sơn,Chủ tịch HĐQT,numeric__Chủ tịch HĐQT
Ông Phương Xuân Thụy,Ông Phương Xuân Thụy,Ông Phương Xuân Thụy,Thành viên HĐQT,
Ông Bùi Quang Bách,Ông Bùi Quang Bách,Ông Bùi Quang Bách,Thành viên HĐQT,
Ông Phạm Hồng Điệp,Ông Phạm Hồng Điệp,Ông Phạm Hồng Điệp,Thành viên HĐQT,
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Thành viên HĐQT kiểm Tổng Giám đốc,
Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,
Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty con,
Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,Công ty con,
Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty con,
Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty con gián tiếp,
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty liên kết,
Công ty Cổ phần Capella Việt Nam,Công ty Cổ phần Capella Việt Nam,Công ty Cổ phần Capella Việt Nam,Công ty liên kết,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,
Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty liên kết,
Công ty Cổ phần Dược OPC,Công ty Cổ phần Dược OPC,Công ty Cổ phần Dược OPC,Ông Hoàng Lê Sơn là Chủ tịch HĐQT,
Công ty Cổ phần Chứng khoán Quốc Gia,Công ty Cổ phần Chứng khoán Quốc Gia,Công ty Cổ phần Chứng khoán Quốc Gia,Ông Hoàng Lê Sơn là Chủ tịch HĐQT,
Tổng Công ty Cổ phần Bảo hiểm Hùng Vương,Tổng Công ty Cổ phần Bảo hiểm Hùng Vương,Tổng Công ty Cổ phần Bảo hiểm Hùng Vương,Ông Bùi Quang Bách là thành viên HĐQ,
