row_label_raw,row_label_full,col_0,Hạn mức,Thời hạn vay,Mục đích vay,Lãi suất,Hình thức bảo đảm,31/12/2023,numeric__Hạn mức,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Lãi suất,numeric__Hình thức bảo đảm,numeric__31/12/2023
(6) Vay cá nhân,(6) Vay cá nhân,(6) Vay cá nhân,(6) Vay cá nhân,(6) Vay cá nhân,(6) Vay cá nhân,(6) Vay cá nhân,(6) Vay cá nhân,VND1.500.000.000,,,,,,
- Hợp đồng cho vay vốn số 0310/2023/HĐT-SAM/HĐVV ngày 03/10/2023 và Phụ lục hợp đồng số 01/2023/PLHĐVV/HĐT-SAM ngày 20/11/2023,(6) Vay cá nhân > - Hợp đồng cho vay vốn số 0310/2023/HĐT-SAM/HĐVV ngày 03/10/2023 và Phụ lục hợp đồng số 01/2023/PLHĐVV/HĐT-SAM ngày 20/11/2023,- Hợp đồng cho vay vốn số 0310/2023/HĐT-SAM/HĐVV ngày 03/10/2023 và Phụ lục hợp đồng số 01/2023/PLHĐVV/HĐT-SAM ngày 20/11/2023,1.500.000.000 VND,12 tháng,Bổ sung vốn lưu động,10%/năm,Tín chấp,1.500.000.000,,,,,,1500000000.0
,,,,,,,,355.666.739.457,,,,,,355666739457.0
b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,,,,,,
(7) Công ty Cổ phần Sacom - Tuyên Lâm,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn: > (7) Công ty Cổ phần Sacom - Tuyên Lâm,(7) Công ty Cổ phần Sacom - Tuyên Lâm,(7) Công ty Cổ phần Sacom - Tuyên Lâm,(7) Công ty Cổ phần Sacom - Tuyên Lâm,(7) Công ty Cổ phần Sacom - Tuyên Lâm,(7) Công ty Cổ phần Sacom - Tuyên Lâm,(7) Công ty Cổ phần Sacom - Tuyên Lâm,218.774.000.000,,,,,,218774000000.0
- Hợp đồng cho vay số 27.01/2020/STL-SHDs/HĐVV ngày 12/11/2020 và Phụ lục số 02/PLHĐ/STL-SHDs ngày 11/11/2023,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn: > - Hợp đồng cho vay số 27.01/2020/STL-SHDs/HĐVV ngày 12/11/2020 và Phụ lục số 02/PLHĐ/STL-SHDs ngày 11/11/2023,- Hợp đồng cho vay số 27.01/2020/STL-SHDs/HĐVV ngày 12/11/2020 và Phụ lục số 02/PLHĐ/STL-SHDs ngày 11/11/2023,468.774.000.000 VND,Đến ngày12/11/2024,Bổ sung vốnlưu động,"6,8%/năm",Tín chấp,218.774.000.000,,,,,,218774000000.0
(8) Ngân hàng TMCP Tiên Phong,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn: > (8) Ngân hàng TMCP Tiên Phong,(8) Ngân hàng TMCP Tiên Phong,(8) Ngân hàng TMCP Tiên Phong,(8) Ngân hàng TMCP Tiên Phong,(8) Ngân hàng TMCP Tiên Phong,(8) Ngân hàng TMCP Tiên Phong,(8) Ngân hàng TMCP Tiên Phong,166.666.666.666,,,,,,166666666666.0
- Hợp đồng cho vay số14/2022/HDTD/TTKHDNL-MN ngày12/09/2022,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn: > - Hợp đồng cho vay số14/2022/HDTD/TTKHDNL-MN ngày12/09/2022,- Hợp đồng cho vay số14/2022/HDTD/TTKHDNL-MN ngày12/09/2022,250.000.000.000 VND,"36 tháng, đến ngày29/09/2025",Bổ sung vốnlưu động,11%/năm,- Cổ phiếu của Công ty Cổ phần Dây và Cáp Sacom với số lượng 49.960.000 cổ phiếu;- Khoản phải thu từ hợp đồng thuê mặt bằng với Công ty Cổ phần DNP Holding và các phụ lục hợp đồng dính kèm.,166.666.666.666,,,,,,166666666666.0
,,,,,,,,385.440.666.666,,,,,,385440666666.0
Khoản đến hạn trả trong vòng 12 tháng,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn: > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,,,,,,(302.107.333.334),,,,,,-302107333334.0
Khoản đến hạn trả sau 12 tháng,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn: > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,,,,,,83.333.333.332,,,,,,83333333332.0
