row_label_raw,row_label_full,Phải thu từ các bên liên quan (Thuyết minh số 25),Số cuối năm > 111.492.402,Ngàn VND Số đầu năm > 45.077.426,numeric__Số cuối năm > 111.492.402,numeric__Ngàn VND Số đầu năm > 45.077.426
Phải thu từ các bên thứ ba,Phải thu từ các bên thứ ba,Phải thu từ các bên thứ ba,91.062.612,30.858.935,91062612.0,30858935.0
- Công ty TNHH MTV Thương mại Thành An,- Công ty TNHH MTV Thương mại Thành An,- Công ty TNHH MTV Thương mại Thành An,34.400.372,8.512.668,34400372.0,8512668.0
- Ông Trần Trọng Hùng,- Ông Trần Trọng Hùng,- Ông Trần Trọng Hùng,21.582.351,12.464.980,21582351.0,12464980.0
- Công ty Cổ phần Nông Lâm NghiệpCánh Đồng Vàng,- Công ty Cổ phần Nông Lâm NghiệpCánh Đồng Vàng,- Công ty Cổ phần Nông Lâm NghiệpCánh Đồng Vàng,13.023.310,705.597,13023310.0,705597.0
- Khách hàng khác,- Khách hàng khác,- Khách hàng khác,22.056.579,9.175.690,22056579.0,9175690.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,202.555.014,75.936.361,202555014.0,75936361.0
