row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngàn VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.756.830,17.006.391,5.078.185,415.157,28.256.563,5756830.0,17006391.0,5078185.0,415157.0,28256563.0
Mua mới,Nguyên giá > Mua mới,Mua mới,4.420.218,458.110,1.766.111,-,6.644.439,4420218.0,458110.0,1766111.0,,6644439.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(10.177.048),(551.082),(1.853.593),-,(12.581.723),-10177048.0,-551082.0,-1853593.0,,-12581723.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,92.972,-,(92.972),-,,92972.0,,-92972.0,
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,17.006.391,4.990.703,322.185,22.319.279,,17006391.0,4990703.0,322185.0,22319279.0
Trong đó: Đã khấu hao hết,Nguyên giá > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,15.781.387,797.302,281.274,16.859.963,,15781387.0,797302.0,281274.0,16859963.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,189.524,14.938.475,2.596.464,284.187,18.008.650,189524.0,14938475.0,2596464.0,284187.0,18008650.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,287.965,1.345.524,707.606,8.182,2.349.277,287965.0,1345524.0,707606.0,8182.0,2349277.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(477.489),(11.950),(389.253),-,(878.692),-477489.0,-11950.0,-389253.0,,-878692.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,1.550,-,(1.550),-,,1550.0,,-1550.0,
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,-,16.273.599,2.914.817,290.819,19.479.235,,16273599.0,2914817.0,290819.0,19479235.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,5.567.306,2.067.916,2.481.721,130.970,10.247.913,5567306.0,2067916.0,2481721.0,130970.0,10247913.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,732.792,2.075.886,31.366,2.840.044,,732792.0,2075886.0,31366.0,2840044.0
