row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.081.438.950,2.550.810,1.185.386.411,8.269.376.171,7081438950.0,2550810.0,1185386411.0,8269376171.0
Phát hành cổ phiếu thu bằng tiền,Năm trước > Phát hành cổ phiếu thu bằng tiền,Phát hành cổ phiếu thu bằng tiền,590.000.000,1.062.000.000,-,1.652.000.000,590000000.0,1062000000.0,,1652000000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,106.002.834,106.002.834,,,106002834.0,106002834.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.671.438.950,1.064.550.810,1.291.389.245,10.027.379.005,7671438950.0,1064550810.0,1291389245.0,10027379005.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.671.438.950,1.064.550.810,1.291.389.245,10.027.379.005,7671438950.0,1064550810.0,1291389245.0,10027379005.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(9.161.050),(9.161.050),,,-9161050.0,-9161050.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.671.438.950,1.064.550.810,1.282.228.195,10.018.217.955,7671438950.0,1064550810.0,1282228195.0,10018217955.0
